а	a
перешкоджувано	p e r e sh k o dzh u w a n o
перешкоди	p e r e sh k o d y
перешкодив	p e r e sh k o d y w
перешкодою	p e r e sh k o d o j u
перешкоду	p e r e sh k o d u
перешукав	p e r e sh u k a w
перешуканий	p e r e sh u k a n y j
перешукаю	p e r e sh u k a j u
перешукають	p e r e sh u k a j u tj
периззеянина	p e r y z z e a n y n a
перлами	p e r l a m y
перли	p e r l y
перлин	p e r l y n
перлини	p e r l y n y
перлину	p e r l y n u
перо	p e r o
пером	p e r o m
перс	p e r s
перса	p e r s a
персам	p e r s a m
персами	p e r s a m y
персах	p e r s a x
перси	p e r s y
персиду	p e r s y d u
перснем	p e r s n e m
персня	p e r sj nj a
персні	p e r sj nj i
перст	p e r s t
перстень	p e r s t e nj
перстом	p e r s t o m
перськи	p e r sj k y
перський	p e r sj k y j
перським	p e r sj k y m
перськими	p e r sj k y m y
перських	p e r sj k y x
перського	p e r sj k o h o
перські	p e r sj kj i
персів	p e r sj i w
персії	p e r sj i j i
перш	p e r sh
перша	p e r sh a
перше	p e r sh e
першенство	p e r sh e n s t w o
перший	p e r sh y j
першим	p e r sh y m
першими	p e r sh y m y
перших	p e r sh y x
першого	p e r sh o h o
першому	p e r sh o m u
першою	p e r sh o j u
першої	p e r sh o j i
першу	p e r sh u
перші	p e r shj i
першій	p e r shj i j
першім	p e r shj i m
перідині	p e rj i d y nj i
періззеян	p e rj i z z e j a n
періззеянин	p e rj i z z e a n y n
періззеянина	p e rj i z z e a n y n a
пес	p e s
петах	p e t a x
петахія	p e t a xj i j a
петельки	p e t e lj k y
петельок	p e t e lj o k
петору	p e t o r u
петра	p e t r a
петре	p e t r e
петро	p e t r o
петрового	p e t r o w o h o
петрові	p e t r o wj i
петром	p e t r o m
петру	p e t r u
петрів	p e t rj i w
петуїлового	p e t u j i l o w o h o
пеуллетай	p e u l l e t a j
печалями	p e tsh a lj a m y
печалі	p e tsh a lj i
печатає	p e tsh a t a j e
печатка	p e tsh a t k a
печатками	p e tsh a t k a m y
печатки	p e tsh a t k y
печаткою	p e tsh a t k o j u
печатку	p e tsh a t k u
печаток	p e tsh a t o k
печать	p e tsh a tj
пече	p e tsh e
печей	p e tsh e j
печена	p e tsh e n a
печеного	p e tsh e n o h o
печеної	p e tsh e n o j i
печеню	p e tsh e nj u
печер	p e tsh e r
печера	p e tsh e r a
печерах	p e tsh e r a x
печери	p e tsh e r y
печерою	p e tsh e r o j u
печеру	p e tsh e r u
печері	p e tsh e rj i
печеться	p e tsh e tsj tsj a
печива	p e tsh y w a
печивом	p e tsh y w o m
печі	p e tshj i
печінка	p e tshj i n k a
печінку	p e tshj i n k u
печінці	p e tshj i nj tsj i
печіть	p e tshj i tj
пещений	p e sh tsh e n y j
пещення	p e sh tsh e nj nj a
пив	p y w
пивши	p y w sh y
пий	p y j
пийте	p y j t e
пил	p y l
пила	p y l a
пилат	p y l a t
пилата	p y l a t a
пилатові	p y l a t o wj i
пилатом	p y l a t o m
пилату	p y l a t u
пили	p y l y
пилинку	p y l y n k u
пилип	p y l y p
пилипа	p y l y p a
пилипе	p y l y p e
пилипової	p y l y p o w o j i
пилипові	p y l y p o wj i
пилка	p y l k a
пилками	p y l k a m y
пилкою	p y l k o j u
пилку	p y l k u
пилувальника	p y l u w a lj n y k a
пильний	p y lj n y j
пильно	p y lj n o
пильноване	p y lj n o w a n e
пильного	p y lj n o h o
пильною	p y lj n o j u
пильнував	p y lj n u w a w
пильнувала	p y lj n u w a l a
пильнували	p y lj n u w a l y
пильнувати	p y lj n u w a t y
пильнуватиме	p y lj n u w a t y m e
пильнуватимете	p y lj n u w a t y m e t e
пильнуватимеш	p y lj n u w a t y m e sh
пильнуватиму	p y lj n u w a t y m u
пильнуй	p y lj n u j
пильнуймо	p y lj n u j m o
пильнуйте	p y lj n u j t e
пильную	p y lj n u j u
пильнують	p y lj n u j u tj
пильнуючи	p y lj n u j u tsh y
пильнує	p y lj n u j e
пильнуємо	p y lj n u j e m o
пильнуєте	p y lj n u j e t e
пильнуєш	p y lj n u j e sh
пильні	p y lj nj i
пильність	p y lj nj i sj tj
пильністю	p y lj nj i sj tj u
пильніш	p y lj nj i sh
пильніший	p y lj nj i sh y j
пипку	p y p k u
писав	p y s a w
писала	p y s a l a
писали	p y s a l y
писальце	p y s a lj ts e
писана	p y s a n a
писанню	p y s a nj nj u
писання	p y s a nj nj a
писанням	p y s a nj nj a m
писаннях	p y s a nj nj a x
писанні	p y s a nj nj i
писано	p y s a n o
писані	p y s a nj i
писар	p y s a r
писареві	p y s a r e wj i
писарем	p y s a r e m
писарське	p y s a r sj k e
писарський	p y s a r sj k y j
писарським	p y s a r sj k y m
писарчуки	p y s a r tsh u k y
писаря	p y s a rj a
писарям	p y s a rj a m
писарі	p y s a rj i
писарів	p y s a rj i w
писати	p y s a t y
писемну	p y s e m n u
письма	p y sj m a
письмо	p y sj m o
письмом	p y sj m o m
письмі	p y sj m i
питав	p y t a w
питався	p y t a w sj a
питай	p y t a j
питайте	p y t a j t e
питала	p y t a l a
питали	p y t a l y
питалися	p y t a l y sj a
питати	p y t a t y
питатимете	p y t a t y m e t e
питатися	p y t a t y sj a
питаю	p y t a j u
питають	p y t a j u tj
питаються	p y t a j u tsj tsj a
питаючи	p y t a j u tsh y
питає	p y t a j e
питаєте	p y t a j e t e
питається	p y t a j e tsj tsj a
питаєш	p y t a j e sh
питаєшся	p y t a j e sh sj a
питва	p y t w a
питво	p y t w o
питвом	p y t w o m
пити	p y t y
питиме	p y t y m e
питимете	p y t y m e t e
питимеш	p y t y m e sh
питиму	p y t y m u
питимуть	p y t y m u tj
пиття	p y tj tj a
питті	p y tj tj i
пить	p y tj
пиха	p y x a
пихи	p y x y
пихо	p y x o
пихою	p y x o j u
пиху	p y x u
пишавсь	p y sh a w sj
пишайся	p y sh a j sj a
пишайтесь	p y sh a j t e sj
пишатись	p y sh a t y sj
пишатися	p y sh a t y sj a
пишається	p y sh a j e tsj tsj a
пише	p y sh e
пишемо	p y sh e m o
пишеш	p y sh e sh
пиши	p y sh y
пишна	p y sh n a
пишний	p y sh n y j
пишнилось	p y sh n y l o sj
пишним	p y sh n y m
пишних	p y sh n y x
пишного	p y sh n o h o
пишному	p y sh n o m u
пишнота	p y sh n o t a
пишноти	p y sh n o t y
пишното	p y sh n o t o
пишнотою	p y sh n o t o j u
пишноту	p y sh n o t u
пишноті	p y sh n o tj i
пишної	p y sh n o j i
пишну	p y sh n u
пишні	p y sh nj i
пишній	p y sh nj i j
пишність	p y sh nj i sj tj
пишу	p y sh u
пишуть	p y sh u tj
пишучи	p y sh u tsh y
пишіть	p y sh i tj
пищу	p y sh tsh u
плавба	p l a w b a
плавбу	p l a w b e u
плавці	p l a w tsj i
плавців	p l a w tsj i w
плазувати	p l a z u w a t y
плазун	p l a z u n
плазуна	p l a z u n a
плазунів	p l a z u nj i w
плазують	p l a z u j u tj
плазуюче	p l a z u j u tsh e
плазуючим	p l a z u j u tsh y m
плазуючого	p l a z u j u tsh o h o
плазуючу	p l a z u j u tsh u
плазує	p l a z u j e
плазюче	p l a z j u tsh e
плакав	p l a k a w
плакала	p l a k a l a
плакали	p l a k a l y
плакати	p l a k a t y
плакатиму	p l a k a t y m u
плакатимуть	p l a k a t y m u tj
план	p l a n
планами	p l a n a m y
планет	p l a n e t
плану	p l a n u
плаского	p l a s k o h o
плата	p l a t a
платани	p l a t a n y
платив	p l a t y w
платили	p l a t y l y
платнею	p l a t n e j u
платню	p l a tj nj u
платні	p l a tj nj i
плату	p l a t u
платіть	p l a tj i tj
плач	p l a tsh
плаче	p l a tsh e
плачем	p l a tsh e m
плачете	p l a tsh e t e
плачеш	p l a tsh e sh
плачливим	p l a tsh l y w y m
плачливі	p l a tsh l y wj i
плачте	p l a tsh t e
плачу	p l a tsh u
плачуть	p l a tsh u tj
плачучи	p l a tsh u tsh y
плащ	p l a sh tsh
плаща	p l a sh tsh a
плащаницею	p l a sh tsh a n y ts e j u
плащаницю	p l a sh tsh a n y tsj u
плащаниця	p l a sh tsh a n y tsj a
плащах	p l a sh tsh a x
плащем	p l a sh tsh e m
плащі	p l a sh tshj i
плекав	p l e k a w
плекає	p l e k a j e
плем	p l e m
племен	p l e m e n
племена	p l e m e n a
племенам	p l e m e n a m
племенами	p l e m e n a m y
племенах	p l e m e n a x
племенем	p l e m e n e m
племени	p l e m e n y
племено	p l e m e n o
племені	p l e m e nj i
плескання	p l e s k a nj nj a
плескати	p l e s k a t y
плете	p l e t e
плетений	p l e t e n y j
плетеними	p l e t e n y m y
плетеною	p l e t e n o j u
плетеної	p l e t e n o j i
плетені	p l e t e nj i
плетуться	p l e t u tsj tsj a
плетінням	p l e tj i nj nj a m
плеча	p l e tsh a
плечах	p l e tsh a x
плече	p l e tsh e
плечей	p l e tsh e j
плечима	p l e tsh y m a
плечі	p l e tshj i
плеще	p l e sh tsh e
плещете	p l e sh tsh e t e
плещуть	p l e sh tsh u tj
плещіть	p l e sh tshj i tj
плив	p l y w
пливав	p l y w a w
пливак	p l y w a k
пливання	p l y w a nj nj a
пливати	p l y w a t y
пливає	p l y w a j e
пливаєш	p l y w a j e sh
пливе	p l y w e
пливла	p l y w l a
пливли	p l y w l y
пливсти	p l y w s t y
пливуть	p l y w u tj
пливучи	p l y w u tsh y
плинами	p l y n a m y
плине	p l y n e
плинну	p l y n n u
плинув	p l y n u w
плинули	p l y n u l y
плисти	p l y s t y
плит	p l y t
плити	p l y t y
плиток	p l y t o k
плода	p l o d a
плодах	p l o d a x
плоди	p l o d y
плодилися	p l o d y l y sj a
плодися	p l o d y sj a
плодиш	p l o d y sh
плодом	p l o d o m
плодоносна	p l o d o n o s n a
плоду	p l o d u
плодюча	p l o d j u tsh a
плодючому	p l o d j u tsh o m u
плодючу	p l o d j u tsh u
плодяться	p l o dj a tsj tsj a
плоді	p l o dj i
плодів	p l o dj i w
плодіться	p l o dj i tsj tsj a
плотами	p l o t a m y
плоти	p l o t y
плоть	p l o tj
плоті	p l o tj i
плотів	p l o tj i w
площ	p l o sh tshj
площах	p l o sh tshj a x
площею	p l o sh tsh e j u
площу	p l o sh tsh u
площі	p l o sh tshj i
плуга	p l u h a
плугатарі	p l u h a t a rj i
плугів	p l u hj i w
плутати	p l u t a t y
плювавши	p lj u w a w sh y
плювали	p lj u w a l y
плювання	p lj u w a nj nj a
плювати	p lj u w a t y
плюне	p lj u n e
плюнув	p lj u n u w
плюскотом	p lj u s k o t o m
плюють	p lj u j u tj
плям	p lj a m
пляма	p lj a m a
плями	p lj a m y
плямкою	p lj a m k o j u
плямою	p lj a m o j u
плямує	p lj a m u j e
плямі	p lj a mj i
пляшечки	p lj a sh e tsh k y
пляшечку	p lj a sh e tsh k u
плід	p lj i d
плідна	p lj i d n a
плідне	p lj i d n e
плідним	p lj i d n y m
плідної	p lj i d n o j i
пліткарем	p lj i t k a r e m
пліткаря	p lj i t k a rj a
пнеться	p n e tsj tsj a
пня	p nj a
по	p o
поб	p o b
побавляться	p o b a w lj a tsj tsj a
побажав	p o b a zh a w
побажавши	p o b a zh a w sh y
побажання	p o b a zh a nj nj a
побажаєте	p o b a zh a j e t e
побажаєш	p o b a zh a j e sh
побалакавши	p o b a l a k a w sh y
побач	p o b a tsh
побачать	p o b a tsh a tj
побачив	p o b a tsh y w
побачивши	p o b a tsh y w sh y
побачившись	p o b a tsh y w sh y sj
побачила	p o b a tsh y l a
побачили	p o b a tsh y l y
побачило	p o b a tsh y l o
побачим	p o b a tsh y m
побачимо	p o b a tsh y m o
побачите	p o b a tsh y t e
побачити	p o b a tsh y t y
побачить	p o b a tsh y tj
побачиться	p o b a tsh y tsj tsj a
побачиш	p o b a tsh y sh
побачмо	p o b a tsh m o
побачте	p o b a tsh t e
побачу	p o b a tsh u
побезчестити	p o b e z tsh e s t y t y
побезчестять	p o b e z tsh e sj tj a tj
побезчещені	p o b e z tsh e sh tsh e nj i
побентеж	p o b e n t e zh
побентежена	p o b e n t e zh e n a
побентеженні	p o b e n t e zh e nj nj i
побентежені	p o b e n t e zh e nj i
побентежив	p o b e n t e zh y w
побентежились	p o b e n t e zh y l y sj
побентежилися	p o b e n t e zh y l y sj a
побентежить	p o b e n t e zh y tj
побережжя	p o b e r e zh zhj a
побережжі	p o b e r e zh zhj i
побереться	p o b e r e tsj tsj a
поберіть	p o b e rj i tj
побив	p o b y w
побивав	p o b y w a w
побивався	p o b y w a w sj a
побивала	p o b y w a l a
побивалася	p o b y w a l a sj a
побивали	p o b y w a l y
побивати	p o b y w a t y
побиваю	p o b y w a j u
побивають	p o b y w a j u tj
побиваючи	p o b y w a j u tsh y
побиває	p o b y w a j e
побивши	p o b y w sh y
побила	p o b y l a
побили	p o b y l y
побирає	p o b y r a j e
побита	p o b y t a
побите	p o b y t e
побити	p o b y t y
побитий	p o b y t y j
побитим	p o b y t y m
побитими	p o b y t y m y
побитих	p o b y t y x
побито	p o b y t o
побиття	p o b y tj tj a
побиті	p o b y tj i
поблагослови	p o b l a h o s l o w y
поблагословив	p o b l a h o s l o w y w
поблагословила	p o b l a h o s l o w y l a
поблагословили	p o b l a h o s l o w y l y
поблагословити	p o b l a h o s l o w y t y
поблагословить	p o b l a h o s l o w y tj
поблагословиться	p o b l a h o s l o w y tsj tsj a
поблагословиш	p o b l a h o s l o w y sh
поблагословлений	p o b l a h o s l o w l e n y j
поблагословлені	p o b l a h o s l o w l e nj i
поблагословлю	p o b l a h o s l o w lj u
поблагословляться	p o b l a h o s l o w lj a tsj tsj a
поблагословіте	p o b l a h o s l o wj i t e
поблагословіть	p o b l a h o s l o wj i tj
поближче	p o b l y zh tsh e
поблизу	p o b l y z u
поблизько	p o b l y zj k o
поблідла	p o b lj i d l a
поблідли	p o b lj i d l y
поблідло	p o b lj i d l o
поблідне	p o b lj i d n e
побожний	p o b o zh n y j
побожним	p o b o zh n y m
побожних	p o b o zh n y x
побожно	p o b o zh n o
побожного	p o b o zh n o h o
побожности	p o b o zh n o s t y
побожності	p o b o zh n o sj tj i
побожної	p o b o zh n o j i
побожні	p o b o zh nj i
побожність	p o b o zh nj i sj tj
побожністю	p o b o zh nj i sj tj u
поборових	p o b o r o w y x
побору	p o b o r u
поборів	p o b o rj i w
побоюсь	p o b o j u sj
побоявся	p o b o j a w sj a
побоявшись	p o b o j a w sh y sj
побоялася	p o b o j a l a sj a
побоялись	p o b o j a l y sj
побої	p o b o j i
побоїв	p o b o j i w
побоїться	p o b o j i tsj tsj a
побрали	p o b r a l y
побрались	p o b r a l y sj
побував	p o b u w a w
побувши	p o b u w sh y
побуде	p o b u d e
побуджений	p o b u dzh e n y j
побуджує	p o b u dzh u j e
побудив	p o b u d y w
побудована	p o b u d o w a n a
побудоване	p o b u d o w a n e
побудований	p o b u d o w a n y j
побудовані	p o b u d o w a nj i
побуду	p o b u d u
побудував	p o b u d u w a w
побудувала	p o b u d u w a l a
побудували	p o b u d u w a l y
побудуймо	p o b u d u j m o
побудуйте	p o b u d u j t e
побудую	p o b u d u j u
побудують	p o b u d u j u tj
побудує	p o b u d u j e
побудуємо	p o b u d u j e m o
побудується	p o b u d u j e tsj tsj a
побудь	p o b u dj
побунтувалися	p o b u n t u w a l y sj a
побути	p o b u t y
побуту	p o b u t u
побіг	p o bj i h
побігла	p o bj i h l a
побігли	p o bj i h l y
побігло	p o bj i h l o
побіжи	p o bj i zh y
побіжить	p o bj i zh y tj
побіжиш	p o bj i zh y sh
побіжу	p o bj i zh u
побійтесь	p o bj i j t e sj
побійтеся	p o bj i j t e sj a
побілена	p o bj i l e n a
побілених	p o bj i l e n y x
побільшать	p o bj i lj sh a tj
побільшив	p o bj i lj sh y w
побільшивсь	p o bj i lj sh y w sj
побільшився	p o bj i lj sh y w sj a
побільшила	p o bj i lj sh y l a
побільшилася	p o bj i lj sh y l a sj a
побільшилося	p o bj i lj sh y l o sj a
побільшити	p o bj i lj sh y t y
побільшить	p o bj i lj sh y tj
побільшиться	p o bj i lj sh y tsj tsj a
побільшиш	p o bj i lj sh y sh
побільшу	p o bj i lj sh u
побільшувала	p o bj i lj sh u w a l a
побільшують	p o bj i lj sh u j u tj
побільшує	p o bj i lj sh u j e
побільшуєте	p o bj i lj sh u j e t e
побільшуєш	p o bj i lj sh u j e sh
побільшіть	p o bj i lj shj i tj
побілівши	p o bj i lj i w sh y
побіліла	p o bj i lj i l a
побіліли	p o bj i lj i l y
побірникові	p o bj i r n y k o wj i
побіч	p o bj i tsh
пов	p o w
повабилось	p o w a b y l o sj
повагу	p o w a h u
поважайте	p o w a zh a j t e
поважаний	p o w a zh a n y j
поважаного	p o w a zh a n o h o
поважати	p o w a zh a t y
поважає	p o w a zh a j e
поважна	p o w a zh n a
поважний	p o w a zh n y j
поважним	p o w a zh n y m
поважні	p o w a zh nj i
поважніший	p o w a zh nj i sh y j
поважніших	p o w a zh nj i sh y x
повалений	p o w a l e n y j
повалено	p o w a l e n o
повалені	p o w a l e nj i
повалив	p o w a l y w
поваливсь	p o w a l y w sj
повалився	p o w a l y w sj a
повалившись	p o w a l y w sh y sj
повалила	p o w a l y l a
повалили	p o w a l y l y
повалились	p o w a l y l y sj
повалите	p o w a l y t e
повалити	p o w a l y t y
повалю	p o w a lj u
повалює	p o w a lj u j e
повалять	p o w a lj a tj
поваляться	p o w a lj a tsj tsj a
повапните	p o w a p n y t e
повапниш	p o w a p n y sh
повбивав	p o w b y w a w
повбивайте	p o w b y w a j t e
повбивали	p o w b y w a l y
повбиваним	p o w b y w a n y m
повбивані	p o w b y w a nj i
повбивати	p o w b y w a t y
повбиваю	p o w b y w a j u
повбивають	p o w b y w a j u tj
повбиває	p o w b y w a j e
повбиваємо	p o w b y w a j e m o
повбиваєте	p o w b y w a j e t e
повбиваєш	p o w b y w a j e sh
повбирані	p o w b y r a nj i
повбираєш	p o w b y r a j e sh
повводив	p o w w o d y w
поведе	p o w e d e
поведений	p o w e d e n y j
поведеться	p o w e d e tsj tsj a
поведу	p o w e d u
поведуть	p o w e d u tj
повезли	p o w e z l y
повела	p o w e l a
повели	p o w e l y
повен	p o w e n
поверне	p o w e r n e
повернемо	p o w e r n e m o
повернемось	p o w e r n e m o sj
повернемося	p o w e r n e m o sj a
повернене	p o w e r n e n e
повернений	p o w e r n e n y j
повернення	p o w e r n e nj nj a
повернено	p o w e r n e n o
поверненці	p o w e r n e nj tsj i
поверненців	p o w e r n e nj tsj i w
повернені	p o w e r n e nj i
повернетесь	p o w e r n e t e sj
повернетеся	p o w e r n e t e sj a
повернеться	p o w e r n e tsj tsj a
повернеш	p o w e r n e sh
повернешся	p o w e r n e sj sj a
поверни	p o w e r n y
повернися	p o w e r n y sj a
поверну	p o w e r n u
повернув	p o w e r n u w
повернувся	p o w e r n u w sj a
повернувшись	p o w e r n u w sh y sj
повернулася	p o w e r n u l a sj a
повернули	p o w e r n u l y
повернулись	p o w e r n u l y sj
повернулися	p o w e r n u l y sj a
повернулося	p o w e r n u l o sj a
повернусь	p o w e r n u sj
повернуся	p o w e r n u sj a
повернути	p o w e r n u t y
повернутись	p o w e r n u t y sj
повернуть	p o w e r n u tj
повернуться	p o w e r n u tsj tsj a
поверніться	p o w e r nj i tsj tsj a
повертався	p o w e r t a w sj a
повертай	p o w e r t a j
повертайся	p o w e r t a j sj a
поверталась	p o w e r t a l a sj
повертали	p o w e r t a l y
поверталися	p o w e r t a l y sj a
повертатись	p o w e r t a t y sj
повертаються	p o w e r t a j u tsj tsj a
повертає	p o w e r t a j e
повертається	p o w e r t a j e tsj tsj a
поверх	p o w e r x
поверхах	p o w e r x a x
поверхи	p o w e r x y
поверхнею	p o w e r x n e j u
поверхню	p o w e r x nj u
поверхня	p o w e r x nj a
поверхні	p o w e r x nj i
поверху	p o w e r x u
повеселитися	p o w e s e l y t y sj a
повз	p o w z
повзає	p o w z a j e
повзюче	p o w zj j u tsh e
повзяв	p o w zj a w
повибивав	p o w y b y w a w
повибивали	p o w y b y w a l y
повибирали	p o w y b y r a l y
повибираю	p o w y b y r a j u
повиводив	p o w y w o d y w
повиводили	p o w y w o d y l y
повиводь	p o w y w o dj
повиганяв	p o w y h a nj a w
повиганяли	p o w y h a nj a l y
повиганяти	p o w y h a nj a t y
повиганяю	p o w y h a nj a j u
повиганяєш	p o w y h a nj a j e sh
повигонене	p o w y h o n e n e
повигублював	p o w y h u b lj u w a w
повигублювали	p o w y h u b lj u w a l y
повигублювані	p o w y h u b lj u w a nj i
повигублювати	p o w y h u b lj u w a t y
повигублюйте	p o w y h u b lj u j t e
повигублюю	p o w y h u b lj u j u
повигублює	p o w y h u b lj u j e
повидзьобували	p o w y dzh zj o b u w a l y
повидовжувалось	p o w y d o w zh u w a l o sj
повикидав	p o w y k y d a w
повикидайте	p o w y k y d a j t e
повикидали	p o w y k y d a l y
повикидані	p o w y k y d a nj i
повикидаю	p o w y k y d a j u
повикидають	p o w y k y d a j u tj
повикидає	p o w y k y d a j e
повикидаєте	p o w y k y d a j e t e
повикопував	p o w y k o p u w a w
повикопували	p o w y k o p u w a l y
повикорчовуєш	p o w y k o r tsh o w u j e sh
повикривлював	p o w y k r y w lj u w a w
повила	p o w y l a
повилазять	p o w y l a zj a tj
повиламлює	p o w y l a m lj u j e
повиловлюють	p o w y l o w lj u j u tj
повиломлював	p o w y l o m lj u w a w
повимивані	p o w y m y w a nj i
повимирають	p o w y m y r a j u tj
повимишляв	p o w y m y sh lj a w
повина	p o w y n a
повинен	p o w y n e n
повинищував	p o w y n y sh tsh u w a w
повинищуй	p o w y n y sh tsh u j
повинна	p o w y n n a
повинно	p o w y n n o
повинності	p o w y n n o sj tj i
повинні	p o w y nj nj i
повинність	p o w y nj nj i sj tj
повиносив	p o w y n o s y w
повиносили	p o w y n o s y l y
повиніться	p o w y nj i tsj tsj a
повипливали	p o w y p l y w a l y
повиполювали	p o w y p o lj u w a l y
повиполюю	p o w y p o lj u j u
повипроваджую	p o w y p r o w a dzh u j u
повипроваджують	p o w y p r o w a dzh u j u tj
повипускаю	p o w y p u s k a j u
повириваю	p o w y r y w a j u
повириваються	p o w y r y w a j u tsj tsj a
повиростали	p o w y r o s t a l y
повиростають	p o w y r o s t a j u tj
повирубував	p o w y r u b u w a w
повирубує	p o w y r u b u j e
повирубуєте	p o w y r u b u j e t e
повирівнюю	p o w y rj i w nj u j u
повирізував	p o w y rj i z u w a w
повисаджувані	p o w y s a dzh u w a nj i
повисилали	p o w y s y l a l y
повисилають	p o w y s y l a j u tj
повисихали	p o w y s y x a l y
повисихають	p o w y s y x a j u tj
повисихає	p o w y s y x a j e
повискубує	p o w y s k u b u j e
повисушую	p o w y s u sh u j u
повисікував	p o w y sj i k u w a w
повитесувані	p o w y t e s u w a nj i
повитинав	p o w y t y n a w
повитинаю	p o w y t y n a j u
повитиралося	p o w y t y r a l o sj a
повитиране	p o w y t y r a n e
повитирані	p o w y t y r a nj i
повитоптуване	p o w y t o p t u w a n e
повитягай	p o w y tj a h a j
повитягали	p o w y tj a h a l y
повитягають	p o w y tj a h a j u tj
повитягуй	p o w y tj a h u j
повитягують	p o w y tj a h u j u tj
повиходив	p o w y x o d y w
повиходивши	p o w y x o d y w sh y
повиходили	p o w y x o d y l y
повиходите	p o w y x o d y t e
повиходять	p o w y x o dj a tj
повичерпує	p o w y tsh e r p u j e
повищ	p o w y sh tsh
повище	p o w y sh tsh e
повищений	p o w y sh tsh e n y j
повищення	p o w y sh tsh e nj nj a
повищив	p o w y sh tsh y w
повищився	p o w y sh tsh y w sj a
повищилось	p o w y sh tsh y l o sj
повищилося	p o w y sh tsh y l o sj a
повищить	p o w y sh tsh y tj
повищиться	p o w y sh tsh y tsj tsj a
повищувалися	p o w y sh tsh u w a l y sj a
повищує	p o w y sh tsh u j e
повкидав	p o w k y d a w
повкидали	p o w k y d a l y
повкидані	p o w k y d a nj i
повкидають	p o w k y d a j u tj
повкладай	p o w k l a d a j
повмирав	p o w m y r a w
повмирали	p o w m y r a l y
повмирало	p o w m y r a l o
повмирати	p o w m y r a t y
повмирають	p o w m y r a j u tj
повмирає	p o w m y r a j e
повмираємо	p o w m y r a j e m o
повмираєте	p o w m y r a j e t e
повмлівали	p o w m lj i w a l y
повна	p o w n a
повне	p o w n e
повнею	p o w n e j u
повний	p o w n y j
повним	p o w n y m
повними	p o w n y m y
повних	p o w n y x
повно	p o w n o
повного	p o w n o h o
повному	p o w n o m u
повносив	p o w n o s y w
повносили	p o w n o s y l y
повносилого	p o w n o s y l o h o
повнота	p o w n o t a
повноти	p o w n o t y
повнотою	p o w n o t o j u
повноту	p o w n o t u
повноті	p o w n o tj i
повною	p o w n o j u
повної	p o w n o j i
повну	p o w n u
повню	p o w nj u
повня	p o w nj a
повні	p o w nj i
повній	p o w nj i j
повнім	p o w nj i m
поводатарі	p o w o d a t a rj i
поводатора	p o w o d a t o r a
поводження	p o w o dzh e nj nj a
поводженням	p o w o dzh e nj nj a m
поводженні	p o w o dzh e nj nj i
поводився	p o w o d y w sj a
поводилися	p o w o d y l y sj a
поводитеся	p o w o d y t e sj a
поводитись	p o w o d y t y sj
поводитися	p o w o d y t y sj a
поводиться	p o w o d y tsj tsj a
поводишся	p o w o d y sj sj a
поводу	p o w o d u
поводьтеся	p o w o dj t e sj a
поводяться	p o w o dj a tsj tsj a
повоза	p o w o z a
повозом	p o w o z o m
повозу	p o w o z u
повозі	p o w o zj i
поволоку	p o w o l o k u
поволі	p o w o lj i
поворожи	p o w o r o zh y
повороззям	p o w o r o zj zj a m
поворозки	p o w o r o z k y
поворот	p o w o r o t
поворушив	p o w o r u sh y w
повпадають	p o w p a d a j u tj
повпивались	p o w p y w a l y sj
повпивалися	p o w p y w a l y sj a
повпиваються	p o w p y w a j u tsj tsj a
повсихали	p o w sj y x a l y
повсовував	p o w s o w u w a w
повсовуєш	p o w s o w u j e sh
повстав	p o w s t a w
повставав	p o w s t a w a w
повставайте	p o w s t a w a j t e
повставали	p o w s t a w a l y
повставало	p o w s t a w a l o
повставляв	p o w s t a w lj a w
повставляли	p o w s t a w lj a l y
повстала	p o w s t a l a
повстали	p o w s t a l y
повсталих	p o w s t a l y x
повстало	p o w s t a l o
повстане	p o w s t a n e
повстання	p o w s t a nj nj a
повстану	p o w s t a n u
повстануть	p o w s t a n u tj
повстанцями	p o w s t a nj tsj a m y
повстанців	p o w s t a nj tsj i w
повстати	p o w s t a t y
повстають	p o w s t a j u tj
повстаючих	p o w s t a j u tsh y x
повстає	p o w s t a j e
повстримав	p o w s t r y m a w
повстримайсь	p o w s t r y m a j sj
повстримати	p o w s t r y m a t y
повстримую	p o w s t r y m u j u
повсував	p o w s u w a w
повсякденно	p o w sj a g d e n n o
повсякденну	p o w sj a g d e n n u
повсякчас	p o w sj a g tsh a s
повсякчасна	p o w sj a g tsh a s n a
повсякчасний	p o w sj a g tsh a s n y j
повсякчасно	p o w sj a g tsh a s n o
повсякчасну	p o w sj a g tsh a s n u
повсідали	p o w sj i d a l y
повторив	p o w t o r y w
повторився	p o w t o r y w sj a
повторили	p o w t o r y l y
повторите	p o w t o r y t e
повторю	p o w t o rj u
повторює	p o w t o rj u j e
повторяє	p o w t o rj a j e
повторіть	p o w t o rj i tj
повтікав	p o w tj i k a w
повтікали	p o w tj i k a l y
повтікають	p o w tj i k a j u tj
повтікає	p o w tj i k a j e
повтікаєте	p o w tj i k a j e t e
повходили	p o w x o d y l y
повів	p o wj i w
повівав	p o wj i w a w
повід	p o wj i d
повідати	p o wj i d a t y
повідаючи	p o wj i d a j u tsh y
повіддавайте	p o wj i d d a w a j t e
повідді	p o wj i dj dj i
повідділювані	p o wj i dj dj i lj u w a nj i
повідженням	p o wj i dzh e nj nj a m
повідкидав	p o wj i d k y d a w
