a	a1_T1
nêm	n e2_T1 m
nên	n e2_T1 n
nêu	n e2_T1 u1_T1
nín	n i_T3 n
níp	n i_T3 p
nít	n i_T3 t
níu	n iu_T3
nòi	n oi_T2
nó	n o1_T3
nóc	n o1_T3 k
nói	n oi_T3
nóng	n o1_T3 ng
nóp	n o1_T3 p
nót	n o1_T3 t
nô	n o2_T1
nôm	n o2_T1 m
nôn	n o2_T1 n
nông	n o2_T1 ng
núi	n ui_T3
núng	n u1_T3 ng
núp	n u1_T3 p
nút	n u1_T3 t
năm	n a2_T1 m
năn	n a2_T1 n
năng	n a2_T1 ng
nĩa	n i_T5 a1_T1
nơ	n o3_T1
nơi	n oi3_T1
nươi	n uoi3_T1
nương	n ua2_T1 ng
nước	n ua2_T3 k
nướng	n ua2_T3 ng
nược	n ua2_T6 k
nại	n ai_T6
nạm	n a1_T6 m
nạn	n a1_T6 n
nạp	n a1_T6 p
nạt	n a1_T6 t
nả	n a1_T4
nải	n ai_T4
nảo	n ao_T4
nảy	n ay_T4
nấc	n a3_T3 k
nấng	n a3_T3 ng
nấp	n a3_T3 p
nấu	n au3_T3
nấy	n ay3_T3
nần	n a3_T2 n
nầy	n ay3_T2
nẩy	n ay3_T4
nắm	n a2_T3 m
nắn	n a2_T3 n
nắng	n a2_T3 ng
nắp	n a2_T3 p
nằm	n a2_T2 m
nằng	n a2_T2 ng
nặng	n a2_T6 ng
nẹt	n e1_T6 t
nẻ	n e1_T4
nẻo	n eo_T4
nếm	n e2_T3 m
nết	n e2_T3 t
nếu	n eu_T3
nề	n e2_T2
nền	n e2_T2 n
nều	n eu_T2
nể	n e2_T4
nệm	n e2_T6 m
nện	n e2_T6 n
nỉ	n i_T4
nỉa	n i_T4 a1_T1
nịch	n i_T6 ch
nịnh	n i_T6 nh
nịt	n i_T6 t
nọ	n o1_T6
nọc	n o1_T6 k
nọp	n o1_T6 p
nối	n oi2_T3
nốp	n o2_T3 p
nốt	n o2_T3 t
nồi	n oi2_T2
nồng	n o2_T2 ng
nổ	n o2_T4
nổi	n oi2_T4
nổng	n o2_T4 ng
nỗi	n oi2_T5
nỗng	n o2_T5 ng
nộ	n o2_T6
nội	n oi2_T6
nộp	n o2_T6 p
nới	n oi3_T3
nớt	n o3_T3 t
nở	n o3_T4
nỡ	n o3_T5
nợ	n o3_T6
nụ	n u1_T6
nức	n u2_T3 k
nứt	n u2_T3 t
nừng	n u2_T2 ng
nửa	n ua2_T4
nữ	n u2_T5
nữa	n ua2_T5
nực	n u2_T6 k
o	o1_T1
oai	oa_T1 i_T1
oan	oa_T1 n
om	o1_T1 m
ong	o1_T1 ng
oái	oa_T3 i_T1
oán	oa_T3 n
oáng	oa_T3 ng
oát	oa_T3 t
oït	o1_T1 t
oùc	o1_T1 u1_T2 k
oùp	o1_T1 u1_T2 p
pha	ph a1_T1
phai	ph ai_T1
pham	ph a1_T1 m
phan	ph a1_T1 n
phanh	ph a1_T1 nh
phao	ph ao_T1
phau	ph au_T1
phe	ph e1_T1
phen	ph e1_T1 n
phi	ph i_T1
phia	ph i_T1 a1_T1
phim	ph i_T1 m
phin	ph i_T1 n
phinh	ph i_T1 nh
phiên	ph ie2_T1 n
phiêu	ph ieu_T1
phiếu	ph ieu_T3
phiền	ph ie2_T2 n
pho	ph o1_T1
phong	ph o1_T1 ng
phu	ph u1_T1
phun	ph u1_T1 n
phung	ph u1_T1 ng
phy	ph i_T1
phài	ph ai_T2
phàm	ph a1_T2 m
phàn	ph a1_T2 n
phào	ph ao_T2
phá	ph a1_T3
phác	ph a1_T3 k
phách	ph a1_T3 ch
phái	ph ai_T3
phán	ph a1_T3 n
pháp	ph a1_T3 p
phát	ph a1_T3 t
phân	ph a3_T1 n
phéc	ph e1_T3 k
phép	ph e1_T3 p
phê	ph e2_T1
phên	ph e2_T1 n
phì	ph i_T2
phình	ph i_T2 nh
phí	ph i_T3
phía	ph i_T3 a1_T1
phích	ph i_T3 ch
phít	ph i_T3 t
phò	ph o1_T2
phòng	ph o1_T2 ng
phó	ph o1_T3
phóng	ph o1_T3 ng
phót	ph o1_T3 t
phô	ph o2_T1
phôn	ph o2_T1 n
phông	ph o2_T1 ng
phù	ph u1_T2
phú	ph u1_T3
phút	ph u1_T3 t
phơ	ph o3_T1
phơi	ph oi3_T1
phương	ph ua2_T1 ng
phước	ph ua2_T3 k
phường	ph ua2_T2 ng
phượng	ph ua2_T6 ng
phạm	ph a1_T6 m
phạn	ph a1_T6 n
phạt	ph a1_T6 t
phải	ph ai_T4
phản	ph a1_T4 n
phấn	ph a3_T3 n
phấp	ph a3_T3 p
phất	ph a3_T3 t
phần	ph a3_T2 n
phẩm	ph a3_T4 m
phẩn	ph a3_T4 n
phận	ph a3_T6 n
phẳng	ph a2_T4 ng
phế	ph e2_T3
phết	ph e2_T3 t
phỉ	ph i_T4
phỉnh	ph i_T4 nh
phỏng	ph o1_T4 ng
phố	ph o2_T3
phối	ph oi2_T3
phốt	ph o2_T3 t
phồng	ph o2_T2 ng
phổ	ph o2_T4
phổng	ph o2_T4 ng
phới	ph oi3_T3
phớm	ph o3_T3 m
phờ	ph o3_T2
phụ	ph u1_T6
phục	ph u1_T6 k
phụng	ph u1_T6 ng
phủ	ph u1_T4
phủi	ph ui_T4
phủng	ph u1_T4 ng
phừng	ph u2_T2 ng
pom	p o1_T1 m
qua	k ua_T1
quan	k ua_T1 n
quang	k ua_T1 ng
quanh	k ua_T1 nh
quay	k ua_T1 i_T1
que	k u1_T1 e1_T1
quen	k u1_T1 e1_T1 n
queo	k u1_T1 eo_T1
qui	k ui_T1
quy	k uy_T1
quyên	k uy_T1 e2_T1 n
quyến	k uy_T1 e2_T3 n
quyết	k uy_T1 e2_T3 t
quyền	k uy_T1 e2_T2 n
quyển	k uy_T1 e2_T4 n
quyệt	k uy_T1 e2_T6 t
quá	k u1_T1 a1_T3
quách	k u1_T1 a1_T3 ch
quái	k u1_T1 ai_T3
quán	k u1_T1 a1_T3 n
quáng	k u1_T1 a1_T3 ng
quát	k u1_T1 a1_T3 t
quân	k u1_T1 a3_T1 n
quây	k u1_T1 ay3_T1
quãng	k u1_T1 a1_T5 ng
què	k u1_T1 e1_T2
quét	k u1_T1 e1_T3 t
quê	k u1_T1 e2_T1
quên	k u1_T1 e2_T1 n
quì	k u1_T1 i_T2
quí	k u1_T1 i_T3
quăn	k u1_T1 a2_T1 n
quăng	k u1_T1 a2_T1 ng
quơ	k u1_T1 o3_T1
quạ	k u1_T1 a1_T6
quạnh	k u1_T1 a1_T6 nh
quạt	k u1_T1 a1_T6 t
quả	k u1_T1 a1_T4
quản	k u1_T1 a1_T4 n
quảng	k u1_T1 a1_T4 ng
quấn	k ua_T3 n
quất	k ua_T3 t
quấy	k ua_T3 i_T1
quần	k ua_T2 n
quẩn	k ua_T4 n
quận	k ua_T6 n
quắm	k u1_T1 a2_T3 m
quặn	k u1_T1 a2_T6 n
quẹo	k u1_T1 eo_T6
quế	k u1_T1 e2_T3
quỉ	k u1_T1 i_T4
quị	k u1_T1 i_T6
quốc	k ua_T3 k
quở	k u1_T1 o3_T4
quỷ	k uy_T4
quỹ	k uy_T5
r	r
ra	r a1_T1
rai	r ai_T1
ram	r a1_T1 m
ran	r a1_T1 n
rang	r a1_T1 ng
ranh	r a1_T1 nh
rao	r ao_T1
rau	r au_T1
re	r e1_T1
rem	r e1_T1 m
ren	r e1_T1 n
reo	r eo_T1
ri	r i_T1
ria	r i_T1 a1_T1
rim	r i_T1 m
rinh	r i_T1 nh
riêng	r ie2_T1 ng
riếc	d1 ie2_T3 k
riết	r ie2_T3 t
riềng	r ie2_T2 ng
ro	r o1_T1
roi	r oi_T1
rong	r o1_T1 ng
ru	r u1_T1
rua	r ua_T1
rum	r u1_T1 m
run	r u1_T1 n
rung	r u1_T1 ng
ruồi	r uoi2_T2
ruồng	r ua_T2 ng
ruổi	r uoi2_T4
ruộng	r ua_T6 ng
ruột	r ua_T6 t
rà	r a1_T2
ràn	r a1_T2 n
ràng	r a1_T2 ng
rào	r ao_T2
rày	r ay_T2
rá	r a1_T3
rác	r a1_T3 k
rách	r a1_T3 ch
rán	r a1_T3 n
ráng	r a1_T3 ng
ráo	r ao_T3
ráp	r a1_T3 p
rát	r a1_T3 t
rân	r a3_T1 n
râu	r au3_T1
rã	r a1_T5
rãi	r ai_T5
rãnh	r a1_T5 nh
rèn	r e1_T2 n
réc	r e1_T3 k
rép	r e1_T3 p
rét	r e1_T3 t
rê	r e2_T1
rêm	r e2_T1 m
rên	r e2_T1 n
rêu	r e2_T1 u1_T1
rì	r i_T2
rình	r i_T2 nh
rìu	r iu_T2
rích	r i_T3 ch
ríp	r i_T3 p
rít	r i_T3 t
ròng	r o1_T2 ng
róc	r o1_T3 k
róng	r o1_T3 ng
rót	r o1_T3 t
rô	r o2_T1
rôi	r oi2_T1
rôm	r o2_T1 m
rôn	r o2_T1 n
rõ	r o1_T5
rùn	r u1_T2 n
rùng	r u1_T2 ng
rú	r u1_T3
rúc	r u1_T3 k
rúi	r ui_T3
rún	r u1_T3 n
rúng	r u1_T3 ng
rúp	r u1_T3 p
rút	r u1_T3 t
răn	r a2_T1 n
răng	r a2_T1 ng
rĩ	r i_T5
rĩa	r i_T5 a1_T1
rũ	r u1_T5
rơ	r o3_T1
rơi	r oi3_T1
rơm	r o3_T1 m
rương	r ua2_T1 ng
rước	r ua2_T3 k
rưới	r uoi3_T3
rườn	r ua2_T2 n
rường	r ua2_T2 ng
rưởi	r uoi3_T4
rưỡi	r uoi3_T5
rượt	r ua2_T6 t
rượu	r uou_T6
rạ	r a1_T6
rạc	r a1_T6 k
rạch	r a1_T6 ch
rạn	r a1_T6 n
rạng	r a1_T6 ng
rạo	r ao_T6
rạp	r a1_T6 p
rả	r a1_T4
rải	r ai_T4
rảnh	r a1_T4 nh
rảo	r ao_T4
rảy	r ay_T4
rấp	r a3_T3 p
rất	r a3_T3 t
rầm	r a3_T2 m
rầu	r au3_T2
rầy	r ay3_T2
rẩy	r ay3_T4
rẫm	r a3_T5 m
rậm	r a3_T6 m
rập	r a3_T6 p
rắc	r a2_T3 k
rắn	r a2_T3 n
rắng	r a2_T3 ng
rắp	r a2_T3 p
rằm	r a2_T2 m
rằn	r a2_T2 n
rằng	r a2_T2 ng
rặc	r a2_T6 k
rặt	r a2_T6 t
rẹ	r e1_T6
rẽ	r e1_T5
rế	r e2_T3
rến	r e2_T3 n
rếp	r e2_T3 p
rết	r e2_T3 t
rền	r e2_T2 n
rể	r e2_T4
rễ	r e2_T5
rệp	r e2_T6 p
rệt	r e2_T6 t
rỉa	r i_T4 a1_T1
rịnh	r i_T6 nh
rịt	r i_T6 t
rọc	r o1_T6 k
rối	r oi2_T3
rốn	r o2_T3 n
rống	r o2_T3 ng
rốp	r o2_T3 p
rốt	r o2_T3 t
rồi	r oi2_T2
rồng	r o2_T2 ng
rổ	r o2_T4
rỗi	r oi2_T5
rỗng	r o2_T5 ng
rộn	r o2_T6 n
rộng	r o2_T6 ng
rớt	r o3_T3 t
rờ	r o3_T2
rời	r oi3_T2
rởn	r o3_T4 n
rỡ	r o3_T5
rỡn	r o3_T5 n
rợ	r o3_T6
rợp	r o3_T6 p
rục	r u1_T6 k
rụng	r u1_T6 ng
rủ	r u1_T4
rủa	r ua_T4
rủi	r ui_T4
rủn	r u1_T4 n
rức	r u2_T3 k
rứt	r u2_T3 t
rừng	r u2_T2 ng
rửa	r ua2_T4
rực	r u2_T6 k
rựng	r u2_T6 ng
s	s
sa	s a1_T1
sai	x ai_T1
sam	x a1_T1 m
san	x a1_T1 n
sang	x a1_T1 ng
sanh	s a1_T1 nh
sao	x ao_T1
sau	x au_T1
say	x ay_T1
se	s e1_T1
sem	s e1_T1 m
sen	x e1_T1 n
si	x i_T1
sia	s i_T1 a1_T1
sim	x i_T1 m
sin	x i_T1 n
sinh	x i_T1 nh
siêng	x ie2_T1 ng
siếc	x ie2_T3 k
siếp	x ie2_T3 p
siết	x ie2_T3 t
siểm	x ie2_T4 m
so	s o1_T1
soa	x oa_T1
soi	x oi_T1
son	x o1_T1 n
song	x o1_T1 ng
soát	s oa_T3 t
soạn	x oa_T6 n
stociens	s t o1_T1 k i_T1 e1_T1 n s
su	x u1_T1
sua	x ua_T1
sui	s ui_T1
sum	x u1_T1 m
sung	x u1_T1 ng
suy	x uy_T1
suê	s u1_T1 e2_T1
suýt	x uy_T3 t
suất	x ua_T3 t
suối	x uoi2_T3
suốt	x ua_T3 t
sy	x i_T1
sº½	s
sài	s ai_T2
sàng	x a1_T2 ng
sành	x a1_T2 nh
sào	x ao_T2
sá	x a1_T3
sác	x a1_T3 k
sách	x a1_T3 ch
sái	x ai_T3
sáng	x a1_T3 ng
sánh	s a1_T3 nh
sáo	x ao_T3
sáp	x a1_T3 p
sát	x a1_T3 t
sáu	x au_T3
sân	x a3_T1 n
sâu	x au3_T1
sãi	s ai_T5
sè	s e1_T2
sém	x e1_T3 m
sép	x e1_T3 p
sét	x e1_T3 t
sê	s e2_T1
sên	x e2_T1 n
sính	x i_T3 nh
síp	x i_T3 p
sít	s i_T3 t
sòm	x o1_T2 m
sòng	x o1_T2 ng
sóc	x o1_T3 k
sói	x oi_T3
sóng	x o1_T3 ng
sót	x o1_T3 t
sô	x o2_T1
sôi	s oi2_T1
sôn	x o2_T1 n
sông	x o2_T1 ng
sõi	x oi_T5
sùi	s ui_T2
sùng	x u1_T2 ng
súc	x u1_T3 k
súp	s u1_T3 p
sút	x u1_T3 t
săn	x a2_T1 n
săng	x a2_T1 ng
sĩ	x i_T5
sũng	x u1_T5 ng
sơ	x o3_T1
sơm	x o3_T1 m
sơn	x o3_T1 n
sư	x u2_T1
sưa	s ua2_T1
sưng	s u2_T1 ng
sưu	x uu2_T1
sương	x ua2_T1 ng
sướng	s ua2_T3 ng
sườn	x ua2_T2 n
sường	x ua2_T2 ng
sưởi	x uoi3_T4
sượt	s ua2_T6 t
sạch	x a1_T6 ch
sạn	x a1_T6 n
sạp	x a1_T6 p
sạt	x a1_T6 t
sả	s a1_T4
sải	x ai_T4
sản	x a1_T4 n
sảng	x a1_T4 ng
sảnh	x a1_T4 nh
sảo	s ao_T4
sảy	x ay_T4
sấm	x a3_T3 m
sấn	x a3_T3 n
sấp	x a3_T3 p
sấu	x au3_T3
sầm	x a3_T2 m
sầu	x au3_T2
sẩy	x ay3_T4
sậm	x a3_T6 m
sập	x a3_T6 p
sậy	x ay3_T6
sắc	x a2_T3 k
sắm	x a2_T3 m
sắng	s a2_T3 ng
sắp	x a2_T3 p
sắt	x a2_T3 t
sẳn	x a2_T4 n
sẵn	x a2_T5 n
sặm	x a2_T6 m
sẻ	x e1_T4
sẽ	s e1_T5
sếch	x e2_T3 ch
sết	x e2_T3 t
sề	s e2_T2
sệp	x e2_T6 p
sệt	x e2_T6 t
sỉ	x i_T4
sịa	x i_T6 a1_T1
sọ	x o1_T6
sọc	s o1_T6 k
sỏ	x o1_T4
sỏi	s oi_T4
số	x o2_T3
sống	x o2_T3 ng
sốt	x o2_T3 t
sổ	x o2_T4
sớ	x o3_T3
sớm	x o3_T3 m
sờ	s o3_T2
sờn	x o3_T2 n
sở	x o3_T4
sợ	x o3_T6
sợi	x oi3_T6
sục	x u1_T6 k
sụm	x u1_T6 m
sụp	s u1_T6 p
sụt	x u1_T6 t
sủa	s ua_T4
sủng	x u1_T4 ng
sứ	x u2_T3
sức	x u2_T3 k
sứt	x u2_T3 t
sừng	x u2_T2 ng
sử	x u2_T4
sửa	x ua2_T4
sửng	x u2_T4 ng
sữa	x ua2_T5
sững	s u2_T5 ng
sự	x u2_T6
sỵ	x i_T6
ta	t a1_T1
tai	t ai_T1
tam	t a1_T1 m
tan	t a1_T1 n
tang	t a1_T1 ng
tanh	t a1_T1 nh
tao	t ao_T1
tay	t ay_T1
te	t e1_T1
tem	t e1_T1 m
ten	t e1_T1 n
teo	t eo_T1
tha	th a1_T1
thai	th ai_T1
tham	th a1_T1 m
than	th a1_T1 n
thang	th a1_T1 ng
thanh	th a1_T1 nh
thao	th ao_T1
thay	th ay_T1
the	th e1_T1
them	th e1_T1 m
then	th e1_T1 n
theo	th eo_T1
thi	th i_T1
thia	th i_T1 a1_T1
thim	th i_T1 m
thinh	th i_T1 nh
thiên	th ie2_T1 n
thiêng	th ie2_T1 ng
thiêu	th ieu_T1
thiếc	th ie2_T3 k
thiến	th ie2_T3 n
thiết	th ie2_T3 t
thiếu	th ieu_T3
thiện	th ie2_T6 n
thiệp	th ie2_T6 p
thiệt	th ie2_T6 t
tho	th o1_T1
thoa	th oa_T1
thoi	th oi_T1
thom	th o1_T1 m
thong	th o1_T1 ng
thoát	th oa_T3 t
thoạt	th oa_T6 t
thoảng	th oa_T4 ng
thu	th u1_T1
thua	th ua_T1
thum	th u1_T1 m
thun	th u1_T1 n
thuyết	th uy_T1 e2_T3 t
thuyền	th uy_T1 e2_T2 n
thuê	th u1_T1 e2_T1
thuẫn	th u1_T1 a3_T5 n
thuận	th ua_T6 n
thuật	th ua_T6 t
thuế	th u1_T1 e2_T3
thuốc	th ua_T3 k
thuồng	th ua_T2 ng
thuộc	th ua_T6 k
thuở	th u1_T1 o3_T4
thuỡ	th u1_T1 o3_T5
thà	th a1_T2
thành	th a1_T2 nh
thày	th ay_T2
thác	th a1_T3 k
thách	th a1_T3 ch
thái	th ai_T3
thám	th a1_T3 m
tháng	th a1_T3 ng
thánh	th a1_T3 nh
tháo	th ao_T3
tháp	th a1_T3 p
thát	th a1_T3 t
thâm	th a3_T1 m
thân	th a3_T1 n
thâu	th au3_T1
thây	th ay3_T1
thèm	th e1_T2 m
thèo	th eo_T2
thép	th e1_T3 p
thét	th e1_T3 t
thê	th e2_T1
thêm	th e2_T1 m
thên	th e2_T1 n
thêu	th e2_T1 u1_T1
thì	th i_T2
thìa	th i_T2 a1_T1
thìn	th i_T2 n
thình	th i_T2 nh
thí	th i_T3
thích	th i_T3 ch
thím	th i_T3 m
thít	th i_T3 t
thò	th o1_T2
thòng	th o1_T2 ng
thóc	th o1_T3 k
thói	th oi_T3
thô	th o2_T1
thôi	th oi2_T1
thôn	th o2_T1 n
thông	th o2_T1 ng
thõa	th oa_T5
thù	th u1_T2
thùa	th ua_T2
thùi	th ui_T2
thùng	th u1_T2 ng
thú	th u1_T3
thúc	th u1_T3 k
thúi	th ui_T3
thúng	th u1_T3 ng
thăm	th a2_T1 m
thăng	th a2_T1 ng
thũng	th u1_T5 ng
thơ	th o3_T1
thơm	th o3_T1 m
thơn	th o3_T1 n
thư	th u2_T1
thưa	th ua2_T1
thương	th ua2_T1 ng
thước	th ua2_T3 k
thường	th ua2_T2 ng
thưởng	th ua2_T4 ng
thượng	th ua2_T6 ng
thạch	th a1_T6 ch
thạnh	th a1_T6 nh
thạo	th ao_T6
thạt	th a1_T6 t
thả	th a1_T4
thảm	th a1_T4 m
thảo	th ao_T4
thảy	th ay_T4
thấm	th a3_T3 m
thấp	th a3_T3 p
thất	th a3_T3 t
thấu	th au3_T3
thấy	th ay3_T3
thầm	th a3_T2 m
thần	th a3_T2 n
thầy	th ay3_T2
thẩm	th a3_T4 m
thậm	th a3_T6 m
thận	th a3_T6 n
thập	th a3_T6 p
thật	th a3_T6 t
thắng	th a2_T3 ng
thắp	th a2_T3 p
thắt	th a2_T3 t
thằn	th a2_T2 n
thằng	th a2_T2 ng
thẳm	th a2_T4 m
thẳng	th a2_T4 ng
thẹn	th e1_T6 n
thẹo	th eo_T6
thẹt	th e1_T6 t
thẻ	th e1_T4
thẻo	th eo_T4
thế	th e2_T3
thếp	th e2_T3 p
thết	th e2_T3 t
thề	th e2_T2
thềm	th e2_T2 m
thể	th e2_T4
thệ	th e2_T6
thỉ	th i_T4
thỉnh	th i_T4 nh
thị	th i_T6
thịnh	th i_T6 nh
thịt	th i_T6 t
thọ	th o1_T6
thỏ	th o1_T4
thỏa	th oa_T4
thỏi	th oi_T4
thố	th o2_T3
thối	th oi2_T3
thốn	th o2_T3 n
thống	th o2_T3 ng
thốt	th o2_T3 t
thổ	th o2_T4
thổi	th oi2_T4
thới	th oi3_T3
thớt	th o3_T3 t
thờ	th o3_T2
thời	th oi3_T2
thở	th o3_T4
thợ	th o3_T6
thụt	th u1_T6 t
thủ	th u1_T4
thủng	th u1_T4 ng
thủy	th uy_T4
thứ	th u2_T3
thức	th u2_T3 k
thừ	th u2_T2
thừa	th ua2_T2
thử	th u2_T4
thự	th u2_T6
thực	th u2_T6 k
ti	t i_T1
tia	t i_T1 a1_T1
tim	t i_T1 m
tin	t i_T1 n
tinh	t i_T1 nh
tiu	t iu_T1
tiên	t ie2_T1 n
tiêu	t ieu_T1
tiếc	t ie2_T3 k
tiến	t ie2_T3 n
tiếng	t ie2_T3 ng
tiếp	t ie2_T3 p
tiết	t ie2_T3 t
tiếu	t ieu_T3
tiền	t ie2_T2 n
tiều	t ieu_T2
tiểu	t ieu_T4
tiễn	t ie2_T5 n
tiệc	t ie2_T6 k
tiện	t ie2_T6 n
tiệt	t ie2_T6 t
to	t o1_T1
toan	t oa_T1 n
toang	t oa_T1 ng
tong	t o1_T1 ng
toàn	t oa_T2 n
toán	t oa_T3 n
tra	ch a1_T1
trai	ch ai_T1
trang	ch a1_T1 ng
tranh	ch a1_T1 nh
trao	tr ao_T1
trau	tr au_T1
treo	ch eo_T1
tri	ch i_T1
trinh	ch i_T1 nh
triu	ch iu_T1
triêng	ch ie2_T1 ng
triết	ch ie2_T3 t
triền	ch ie2_T2 n
triều	ch ieu_T2
triệt	ch ie2_T6 t
triệu	ch ieu_T6
tro	ch o1_T1
trong	ch o1_T1 ng
trongsa	ch o1_T1 ng s a1_T1
tru	tr u1_T1
trung	ch u1_T1 ng
truyền	ch uy_T1 e2_T2 n
truyện	ch uy_T1 e2_T6 n
truân	ch u1_T1 a3_T1 n
truất	ch ua_T3 t
truồng	ch ua_T2 ng
try	t r i_T1
tràn	ch a1_T2 n
tràng	ch a1_T2 ng
trành	tr a1_T2 nh
trào	ch ao_T2
trá	ch a1_T3
trác	tr a1_T3 k
trách	ch a1_T3 ch
trái	ch ai_T3
trám	ch a1_T3 m
trán	ch a1_T3 n
tráng	ch a1_T3 ng
tránh	ch a1_T3 nh
tráo	ch ao_T3
trân	ch a3_T1 n
trâu	ch au3_T1
trã	ch a1_T5
trèo	ch eo_T2
tréo	tr eo_T3
trép	ch e1_T3 p
trét	ch e1_T3 t
trên	tr e2_T1 n
trêu	tr e2_T1 u1_T1
trì	ch i_T2
trình	ch i_T2 nh
trí	ch i_T3
trích	ch i_T3 ch
tríu	ch iu_T3
trò	ch o1_T2
tròn	ch o1_T2 n
tròng	ch o1_T2 ng
trói	ch oi_T3
trót	ch o1_T3 t
trô	ch o2_T1
trôi	ch oi2_T1
trôn	ch o2_T1 n
trông	ch o2_T1 ng
trù	ch u1_T2
trùm	ch u1_T2 m
trùng	ch u1_T2 ng
trú	ch u1_T3
trúng	tr u1_T3 ng
trút	ch u1_T3 t
trăm	ch a2_T1 m
trăn	ch a2_T1 n
trăng	ch a2_T1 ng
trĩ	ch i_T5
trĩu	ch iu_T5
trũng	ch u1_T5 ng
trơ	ch o3_T1
trơi	ch oi3_T1
trơn	ch o3_T1 n
trưa	ch ua2_T1
trương	ch ua2_T1 ng
trước	ch ua2_T3 k
trướng	ch ua2_T3 ng
trường	ch ua2_T2 ng
trưởng	ch ua2_T4 ng
trược	ch ua2_T6 k
trượng	ch ua2_T6 ng
trạch	ch a1_T6 ch
trại	ch ai_T6
trạm	ch a1_T6 m
trạng	ch a1_T6 ng
trả	ch a1_T4
trải	ch ai_T4
trảm	ch a1_T4 m
trảy	ch ay_T4
trấn	ch a3_T3 n
trấu	ch au3_T3
trầm	ch a3_T2 m
trần	ch a3_T2 n
trẩy	ch ay3_T4
trẫm	ch a3_T5 m
trận	ch a3_T6 n
trật	tr a3_T6 t
trắc	ch a2_T3 k
trắng	ch a2_T3 ng
trắp	ch a2_T3 p
trằm	ch a2_T2 m
trằn	ch a2_T2 n
trặt	ch a2_T6 t
trẹo	tr eo_T6
trẻ	ch e1_T4
trẻo	tr eo_T4
trề	tr e2_T2
trể	ch e2_T4
trễ	ch e2_T5
trện	ch e2_T6 n
trị	ch i_T6
trịu	ch iu_T6
trọ	ch o1_T6
trọc	ch o1_T6 k
trọi	tr oi_T6
trọn	tr o1_T6 n
trọng	ch o1_T6 ng
trốc	ch o2_T3 k
trối	ch oi2_T3
trốn	ch o2_T3 n
trống	ch o2_T3 ng
trốt	ch o2_T3 t
trồ	tr o2_T2
trồi	ch oi2_T2
trồng	ch o2_T2 ng
trổ	ch o2_T4
trổi	tr oi2_T4
trỗ	ch o2_T5
trội	ch oi2_T6
trộm	ch o2_T6 m
trộn	ch o2_T6 n
trớ	ch o3_T3
trớn	ch o3_T3 n
trờ	ch o3_T2
trời	ch oi3_T2
trở	ch o3_T4
trợ	ch o3_T6
trợt	tr o3_T6 t
trụ	ch u1_T6
trục	ch u1_T6 k
trụi	tr ui_T6
trụng	ch u1_T6 ng
trứng	tr u2_T3 ng
trừ	ch u2_T2
trừng	ch u2_T2 ng
trừu	ch uu2_T2
trử	ch u2_T4
trửng	ch u2_T4 ng
trữ	ch u2_T5
trực	ch u2_T6 k
tu	t u1_T1
tua	t ua_T1
tum	t u1_T1 m
tung	t u1_T1 ng
tuy	t uy_T1
tuyên	t uy_T1 e2_T1 n
tuyến	t uy_T1 e2_T3 n
tuyết	t uy_T1 e2_T3 t
tuyệt	t uy_T1 e2_T6 t
tuân	t u1_T1 a3_T1 n
tuôn	t ua_T1 n
tuần	t ua_T2 n
tuế	t u1_T1 e2_T3
tuốt	t ua_T3 t
tuồng	t ua_T2 ng
tuổi	t uoi2_T4
tuột	t ua_T6 t
tuới	t u1_T1 oi3_T3
ty	t i_T1
tà	t a1_T2
tài	t ai_T2
tàn	t a1_T2 n
tàng	t a1_T2 ng
tành	t a1_T2 nh
tàu	t au_T2
tày	t ay_T2
tá	t a1_T3
tác	t a1_T3 k
tách	t a1_T3 ch
tái	t ai_T3
tám	t a1_T3 m
tán	t a1_T3 n
táng	t a1_T3 ng
tánh	t a1_T3 nh
táo	t ao_T3
táp	t a1_T3 p
tát	t a1_T3 t
tâm	t a3_T1 m
tân	t a3_T1 n
tâu	t au3_T1
tây	t ay3_T1
tã	t a1_T5
té	t e1_T3
tét	t e1_T3 t
tê	t e2_T1
tên	t e2_T1 n
tì	t i_T2
tìm	t i_T2 m
tìn	t i_T2 n
tình	t i_T2 nh
tí	t i_T3
tía	t i_T3 a1_T1
tích	t i_T3 ch
tím	t i_T3 m
tín	t i_T3 n
tính	t i_T3 nh
típ	t i_T3 p
tít	t i_T3 t
tíu	t iu_T3
tòa	t oa_T2
tòi	t oi_T2
tòng	t o1_T2 ng
tó	t o1_T3
tóc	t o1_T3 k
tói	t oi_T3
tóm	t o1_T3 m
tóp	t o1_T3 p
tót	t o1_T3 t
tô	t o2_T1
tôi	t oi2_T1
tôn	t o2_T1 n
tông	t o2_T1 ng
tù	t u1_T2
tùng	t u1_T2 ng
tùy	t u1_T2 i_T1
tú	t u1_T3
túc	t u1_T3 k
túi	t ui_T3
túm	t u1_T3 m
túng	t u1_T3 ng
túp	t u1_T3 p
tút	t u1_T3 t
túy	t u1_T3 i_T1
tăm	t a2_T1 m
tăng	t a2_T1 ng
tĩnh	t i_T5 nh
tơ	t o3_T1
tơi	t oi3_T1
tư	t u2_T1
tưng	t u2_T1 ng
tươi	t uoi3_T1
tương	t ua2_T1 ng
tước	t ua2_T3 k
tưới	t uoi3_T3
tướng	t ua2_T3 ng
tường	t ua2_T2 ng
tưởng	t ua2_T4 ng
tược	t ua2_T6 k
tượng	t ua2_T6 ng
