a	a1_T1
lều	l e2_T1 u1_T1
lệnh	l e2_T1 nh
lính	l i_T3 nh
líu	l iu_T3
lòa	l oa_T2
lòe	l oe_T2
lòng	l o1_T2 ng
lói	l oi_T3
lót	l o1_T3 t
lô	l o2_T1
lôi	l oi2_T1
lối	l oi2_T1
lỗi	l oi2_T1
lùa	l ua_T2
lúc	l u1_T3 k
lút	l u1_T3 t
lý	l i_T3
lăm	l a2_T1 m
lăn	l a2_T1 n
lắm	l a2_T1 m
lắng	l a2_T1 ng
lặng	l a2_T1 ng
lĩnh	l i_T5 nh
lũy	l u1_T5 i_T1
lơ	l o3_T1
lời	l oi3_T1
lớn	l o3_T1 n
lợi	l oi3_T1
lưng	l u2_T1 ng
lưu	l uu2_T1
lương	l ua2_T1 ng
lường	l ua2_T1 ng
lược	l ua2_T1 k
lượng	l ua2_T1 ng
lửa	l ua2_T1
lựa	l ua2_T1
lực	l u2_T1 k
lưới	l uoi3_T3
lướt	l ua2_T3 t
lưỡi	l uoi3_T5
lược	l ua2_T6 k
lượng	l ua2_T6 ng
lạ	l a1_T6
lạc	l a1_T6 k
lại	l ai_T6
lạm	l a1_T6 m
lạnh	l a1_T6 nh
lạp	l a1_T6 p
lạt	l a1_T6 t
lạy	l ay_T6
lấp	l a3_T3 p
lấy	l ay3_T3
lầm	l a3_T2 m
lần	l a3_T2 n
lẩn	l a3_T4 n
lẩy	l ay3_T4
lẫm	l a3_T5 m
lẫn	l a3_T5 n
lẫy	l ay3_T5
lận	l a3_T6 n
lập	l a3_T6 p
lật	l a3_T6 t
lắm	l a2_T3 m
lắn	l a2_T3 n
lắng	l a2_T3 ng
lắp	l a2_T3 p
lằn	l a2_T2 n
lặng	l a2_T6 ng
lặp	l a2_T6 p
lẻ	l e1_T4
lẽ	l e1_T5
lẽn	l e1_T5 n
lề	l e2_T2
lễ	l e2_T5
lệ	l e2_T6
lệch	l e2_T6 ch
lệnh	l e2_T6 nh
lịch	l i_T6 ch
lọt	l o1_T6 t
lỏi	l oi_T4
lối	l oi2_T3
lồ	l o2_T2
lồi	l oi2_T2
lỗ	l o2_T5
lỗi	l oi2_T5
lộ	l o2_T6
lộc	l o2_T6 k
lội	l oi2_T6
lộn	l o2_T6 n
lớ	l o3_T3
lớn	l o3_T3 n
lớp	l o3_T3 p
lời	l oi3_T2
lởi	l oi3_T4
lỡ	l o3_T5
lợi	l oi3_T6
lục	l u1_T6 k
lụy	l u1_T6 i_T1
lứa	l ua2_T3
lừ	l u2_T2
lừa	l ua2_T2
lừng	l u2_T2 ng
lửa	l ua2_T4
lựa	l ua2_T6
lực	l u2_T6 k
m	m
ma	m a1_T1
macintyre	m a2_T3 i_T1 t i_T1 r e1_T1
macquarie	m a2_T3 k ua_T1 r i_T3 e1_T1
macron	m a1_T1 k r o2_T1 ng
madagascar	m a1_T1 j a1_T1 g a1_T3 x k a1_T1 r
maduro	m a1_T1 ua_T1 o1_T1
magnisky	m a1_T1 g n i_T1 s k i_T1
mahiou	m a1_T1 h i_T1 o2_T1 u1_T1
mai	m ai_T1
maidan	m ai_T1 d2 a1_T1 n
maithripala	m ai_T1 th r i_T3 p a1_T1 l a1_T1
malcolm	m a1_T1 l k o2_T1 l m
mamabolo	m a1_T1 m a1_T3 k b o1_T1 l o1_T1
man	m a1_T1 n
management	m a1_T1 n a1_T1 g e1_T1 m e1_T1 n t
mang	m a1_T1 ng
manh	m a1_T1 nh
manik	m a1_T1 n i_T1 k
manning	m a1_T1 n i_T1 ng
manus	m a1_T1 n u1_T1 s
maori	m ao_T1 r i_T1
marco	m a1_T3 k o2_T1
maree	m a1_T3 e2_T1 e1_T1
margaret	m a1_T3 g a1_T1 r e1_T1 t
maribyrnong	m a1_T3 i_T1 b i_T1 r n o1_T1 ng
marise	m a1_T3 i_T3 x e1_T1
mark	m a1_T3 k
marketing	m a1_T3 k e1_T1 t i_T1 ng
martins	m a1_T3 t i_T1 n s
marx	m a1_T3 x
mary	m a1_T3 i_T1
mason	m a1_T3 x o1_T1 n
massi	m a1_T3 x s i_T1
master	m a1_T3 x t o3_T1
mat	m a1_T1 t
maureen	m au_T1 o2_T1 e1_T1 n
maurice	m au_T1 d1 i_T1 k e1_T1
mawjood	m a1_T1 d1 o1_T1 o1_T1 d1
may	m ay_T1
maythawan	m ay_T1 th a1_T1 a1_T1 n
màu	m au_T1
mát	m a1_T1 t
máu	m au_T1
máy	m ay_T1
mãi	m ai_T1
mãn	m a1_T1 n
mảnh	m a1_T1 nh
mạch	m a1_T1 ch
mại	m ai_T1
mạng	m a1_T1 ng
mạnh	m a1_T1 nh
mccormack	m k k o1_T1 d1 m a2_T3 k
mccormick	m k k o1_T1 d1 m i_T1 k k
mccornmack	m k k o2_T1 n m k k
mcfarlane	m k ph a1_T1 r l a1_T1 n e1_T1
mcgahn	m k g a1_T1 h n
mcgowan	m k g au3_T1 a1_T1 n
mcguire	m k g i_T1 r e1_T1
me	m e1_T1
medicare	m e2_T1 d2 i_T1 k a1_T1 r e1_T1
mehmet	m e1_T1 h m e1_T1 t
mehreen	m e1_T1 h o2_T1 e1_T1 n
melbounre	m e1_T1 l k b o1_T1 u1_T1 n o2_T1
melbourne	m e1_T1 l k b o1_T1 oa_T1 n e1_T1
men	m e1_T1 n
meobourne	m eo_T1 k b o1_T1 oa_T1 n e1_T1
mét	m e1_T1 t
michael	m i_T1 k a1_T1 eo_T1
micheal	m i_T1 k e1_T1 a1_T1 n
michelle	m i_T1 k e1_T1 l l e1_T1
microwave	m i_T1 k r o2_T1 ua_T1 v e1_T1
mike	m i_T3 k k e1_T1
milne	m i_T1 l n e1_T1
mindset	m i_T1 n d2 x e1_T3 t
minh	m i_T1 nh
minister	m i_T1 n i_T1 s t o3_T1
minnesota	m i_T1 n e1_T3 o1_T1 t a1_T1
misrata	m i_T1 s d1 a1_T1 t a1_T1
mission	m i_T1 s s i_T1 o1_T1 n
mitchell	m i_T1 t ch e1_T1 n
mitchowo	m i_T1 t k au3_T1 o1_T1
mix	m i_T3 k x
miền	m ie2_T1 n
miễn	m ie2_T1 n
mình	m i_T1 nh
miếng	m ie2_T3 ng
miền	m ie2_T2 n
miễn	m ie2_T5 n
miệng	m ie2_T6 ng
miệt	m ie2_T6 t
mmới	m m oi3_T3
mo	m o1_T1
mogherini	m o2_T1 g th e1_T1 i_T1 n i_T1
mohammed	m o2_T1 h a1_T1 m m d2 e2_T1
mona	m o1_T1 n a1_T1
monash	m o1_T1 n a1_T1 x h
moncada	m o1_T1 n k a1_T1 j a1_T1
mondo	m o1_T1 n j o1_T1
mong	m o1_T1 ng
monim	m o1_T1 n i_T1 m
morcombe	m o2_T1 d1 k o2_T1 m b e1_T1
morecombe	m o1_T1 r e1_T1 k o2_T1 m b e1_T1
morecombesphát	m o1_T1 r e1_T1 k o2_T1 m b e1_T3 ph a1_T3 t
moreno	m o1_T1 r e1_T1 n o1_T1
morision	m o2_T1 r i_T3 x i_T1 o1_T1 n
morison	m o2_T1 r i_T3 x o1_T1 n
morrision	m o2_T1 r i_T3 x i_T1 o1_T1 n
morrison	m o2_T1 r i_T3 x o1_T1 n
mortlock	m o1_T1 r t l o2_T3 k
moscow	m o1_T1 x k au3_T1
mòn	m o1_T1 n
mói	m oi_T1
món	m o1_T1 n
mỏi	m oi_T1
mọc	m o1_T1 k
mọi	m oi_T1
mr	m t o3_T1
mu	m u1_T1
mua	m ua_T1
muammar	m ua_T1 m m a1_T1
mueller	m o2_T1 eo_T1 o3_T2
muller	m u1_T1 n o3_T2
muray	m ua_T1 ay_T1
murray	m ua_T1 r ay_T1
muru	m u1_T1 r u1_T1
muà	m u1_T1 a1_T2
muông	m ua_T1 ng
muốn	m ua_T1 n
mùa	m ua_T1
mùi	m ui_T1
mũi	m ui_T1
mục	m u1_T1 k
muốn	m ua_T3 n
muộn	m ua_T6 n
my	m i_T1
myanmar	m i_T1 a1_T1 n m a1_T1
mylvaganam	m i_T1 l v a1_T1 g a1_T1 n a1_T1 m
mà	m a1_T2
màn	m a1_T2 n
màu	m au_T2
mày	m ay_T2
mác	m a1_T3 k
mái	m ai_T3
mát	m a1_T3 t
máu	m au_T3
máy	m ay_T3
mất	m a3_T1 t
mẫu	m au3_T1
mật	m a3_T1 t
mậu	m au3_T1
mã	m a1_T5
mãi	m ai_T5
mãn	m a1_T5 n
mãnh	m a1_T5 nh
mét	m e1_T3 t
mê	m e2_T1
mì	m i_T2
mình	m i_T2 nh
mò	m o1_T2
mòn	m o1_T2 n
món	m o1_T3 n
móng	m o1_T3 ng
mô	m o2_T1
môi	m oi2_T1
môn	m o2_T1 n
mông	m o2_T1 ng
môt	m o2_T1 t
mối	m oi2_T1
mỗi	m oi2_T1
một	m o2_T1 t
mù	m u1_T2
mùa	m ua_T2
mùi	m ui_T2
mắn	m a2_T1 n
mắt	m a2_T1 t
mặc	m a2_T1 k
mặt	m a2_T1 t
mũ	m u1_T5
mơ	m o3_T1
mời	m oi3_T1
mới	m oi3_T1
mưa	m ua2_T1
mưu	m uu2_T1
mươi	m uoi3_T1
mướn	m ua2_T1 n
mức	m k
mực	m k
mười	m uoi3_T2
mại	m ai_T6
mạn	m a1_T6 n
mạng	m a1_T6 ng
mạnh	m a1_T6 nh
mảng	m a1_T4 ng
mảnh	m a1_T4 nh
mất	m a3_T3 t
mấy	m ay3_T3
mầm	m a3_T2 m
mần	m a3_T2 n
mẩu	m au3_T4
mẫu	m au3_T5
mật	m a3_T6 t
mắc	m a2_T3 k
mắn	m a2_T3 n
mắt	m a2_T3 t
mặc	m a2_T6 k
mặt	m a2_T6 t
mẹ	m e1_T6
mẹo	m eo_T6
mẹt	m e1_T6 t
mẻ	m e1_T4
mẽ	m e1_T5
mến	m e2_T3 n
mệnh	m e2_T6 nh
mệt	m e2_T6 t
mỉm	m i_T4 m
mị	m i_T6
mọi	m oi_T6
mọn	m o1_T6 n
mỏ	m o1_T4
mỏi	m oi_T4
mối	m oi2_T3
mồ	m o2_T2
mồi	m oi2_T2
mỗi	m oi2_T5
mộ	m o2_T6
mộng	m o2_T6 ng
một	m o2_T6 t
mớ	m o3_T3
mới	m oi3_T3
mờ	m o3_T2
mời	m oi3_T2
mở	m o3_T4
mục	m u1_T6 k
mức	m u2_T3 k
mừng	m u2_T2 ng
mực	m u2_T6 k
mỹ	m i_T5
n	n
nab	n a1_T1 b i_T1
nabil	n ay3_T1 b
nadler	n a1_T1 j l o3_T2
nairobi	n ai_T1 r o2_T1 b i_T1
nam	n a1_T1 m
nancy	n a1_T1 n i_T1
narisetti	n a1_T1 r i_T3 x e1_T3 t t i_T1
natale	n a1_T1 t o1_T3 e1_T1
nation	n a1_T1 t i_T1 o1_T1 n
national	n a1_T1 t i_T1 o1_T1 n a1_T1 l
nationals	n a1_T1 t i_T1 o1_T1 n a1_T1 l s
naulakha	n au_T1 l e2_T3 kh a1_T1
nauru	n au_T1 r u1_T1
nay	n ay_T1
nào	n ao_T1
nàocuối	n ao_T1 k uoi2_T1
này	n ay_T1
não	n ao_T1
nạn	n a1_T1 n
ncl	n k n
nebenzia	n e1_T3 p e1_T1 n nh i_T1 a1_T1
ned	n e1_T1 d2 e2_T1
negombo	n e2_T1 g o1_T1 m k b o1_T1
nepal	n e2_T2 p a1_T1 l
nespolon	n e1_T3 p o2_T1 l o2_T1 ng
net	n e1_T1 t
netanyahu	n e1_T1 t a1_T1 n i_T1 a1_T1 h u1_T1
nettleton	n e1_T1 t t l e1_T3 t o1_T1 n
network	n e1_T1 t j o1_T3 k
networks	n e1_T1 t j o2_T1 k s
neumann	n e2_T1 u1_T1 m a1_T1 n
new	n e1_T1 v
news	n e1_T1 o1_T1 s
nét	n e1_T1 t
ng	ng
nga	ng a1_T1
ngang	ng a1_T1 ng
ngay	ng ay_T1
ngài	ng ai_T1
ngàn	ng a1_T1 n
ngành	ng a1_T1 nh
ngày	ng ay_T1
ngạc	ng a1_T1 k
ngại	ng ai_T1
nghe	ng e1_T1
nghi	ng i_T1
nghiêm	ng ie2_T1 m
nghiên	ng ie2_T1 n
nghiệm	ng ie2_T1 m
nghiện	ng ie2_T1 n
nghiệp	ng ie2_T1 p
nghiệt	ng ie2_T1 t
nghĩa	ng i_T1 a1_T1
nghiệm	ng ie2_T6 m
nghiện	ng ie2_T6 n
nghiệp	ng ie2_T6 p
nghèo	ng eo_T2
nghê	ng e2_T1
nghênh	ng e2_T1 nh
nghìn	ng i_T2 n
nghĩ	ng i_T5
nghĩa	ng i_T5 a1_T1
nghẹt	ng e1_T6 t
nghẽn	ng e1_T5 n
nghề	ng e2_T2
nghệ	ng e2_T6
nghỉ	ng i_T4
nghị	ng i_T6
ngoan	ng oa_T1 n
ngoài	ng oa_T1 i_T1
ngoái	ng oa_T1 i_T1
ngoại	ng oa_T1 i_T1
ngoạn	ng oa_T1 n
ngoài	ng oa_T2 i_T1
ngoái	ng oa_T3 i_T1
ngoãn	ng oa_T5 n
ngòi	ng oi_T1
ngóng	ng o1_T1 ng
ngọn	ng o1_T1 n
ngọt	ng o1_T1 t
ngoại	ng oa_T6 i_T1
ngoải	ng oa_T4 i_T1
ngoặt	ng o1_T1 a2_T6 t
ngu	ng u1_T1
nguy	ng uy_T1
nguyên	ng uy_T1 e2_T1 n
nguyễn	ng uy_T1 e2_T1 n
nguyện	ng uy_T1 e2_T1 n
nguyễn	ng uy_T1 e2_T5 n
nguyện	ng uy_T1 e2_T6 n
nguồn	ng ua_T1 n
ngùng	ng u1_T1 ng
nguồn	ng ua_T2 n
nguời	ng u1_T1 oi3_T2
ngài	ng ai_T2
ngàn	ng a1_T2 n
ngàng	ng a1_T2 ng
ngành	ng a1_T2 nh
ngày	ng ay_T2
ngáo	ng ao_T3
ngân	ng a3_T1 n
ngây	ng ay3_T1
ngất	ng a3_T1 t
ngập	ng a3_T1 p
ngã	ng a1_T5
ngòi	ng oi_T2
ngó	ng o1_T3
ngô	ng o2_T1
ngôi	ng oi2_T1
ngôn	ng o2_T1 n
ngồi	ng oi2_T1
ngõ	ng o1_T5
ngăn	ng a2_T1 n
ngắn	ng a2_T1 n
ngặt	ng a2_T1 t
ngũ	ng u1_T5
ngơ	ng o3_T1
ngợi	ng oi3_T1
ngư	ng u2_T1
ngưng	ng u2_T1 ng
người	ng uoi3_T1
ngược	ng uoi3_T1 k
ngựa	ng ua2_T1
người	ng uoi3_T2
ngược	ng ua2_T6 k
ngạc	ng a1_T6 k
ngạch	ng a1_T6 ch
ngại	ng ai_T6
ngả	ng a1_T4
ngầm	ng a3_T2 m
ngẩn	ng a3_T4 n
ngẫm	ng a3_T5 m
ngập	ng a3_T6 p
ngắn	ng a2_T3 n
ngặt	ng a2_T6 t
ngọc	ng o1_T6 k
ngọn	ng o1_T6 n
ngỏ	ng o1_T4
ngồi	ng oi2_T2
ngột	ng o2_T6 t
ngớ	ng o3_T3
ngờ	ng o3_T2
ngỡ	ng o3_T5
ngợi	ng oi3_T6
ngợp	ng o3_T6 p
ngụ	ng u1_T6
ngụy	ng u1_T6 i_T1
ngủ	ng u1_T4
ngừa	ng ua2_T2
ngừng	ng u2_T2 ng
ngữ	ng u2_T5
ngự	ng u2_T6
ngực	ng u2_T6 k
nha	nh a1_T1
nhac	nh a1_T1 k
nhanh	nh a1_T1 nh
nhanpham	nh a1_T1 n ph a1_T1 m
nhau	nh au_T1
nhát	nh a1_T1 t
nhạc	nh a1_T1 k
nhi	nh i_T1
nhiên	nh ie2_T1 n
nhiêu	nh ieu_T1
nhiều	nh ieu_T1
nhiễm	nh ie2_T1 m
nhiệm	nh ie2_T1 m
nhiệt	nh ie2_T1 t
nhìn	nh i_T1 n
nhiều	nh ieu_T2
nhiểm	nh ie2_T4 m
nhiễm	nh ie2_T5 m
nhiệm	nh ie2_T6 m
nhiệt	nh ie2_T6 t
nho	nh o1_T1
nhóm	nh o1_T1 m
nhu	nh u1_T1
nhuận	nh u1_T1 a3_T1 n
nhuận	nh ua_T6 n
nhuộm	nh ua_T6 m
nhà	nh a1_T2
nhàng	nh a1_T2 ng
nhào	nh ao_T2
nhàtại	nh a1_T2 t ai_T6
nhàu	nh au_T2
nhái	nh ai_T3
nhánh	nh a1_T3 nh
nhát	nh a1_T3 t
nháy	nh ay_T3
nhân	nh a3_T1 n
nhât	nh a3_T1 t
nhấn	nh a3_T1 n
nhất	nh a3_T1 t
nhẫn	nh a3_T1 n
nhận	nh a3_T1 n
nhập	nh a3_T1 p
nhật	nh a3_T1 t
nhã	nh a1_T5
nhãn	nh a1_T5 n
nhãng	nh a1_T5 ng
nhên	nh e2_T1 n
nhì	nh i_T2
nhìn	nh i_T2 n
nhóm	nh o1_T3 m
nhằm	nh a2_T1 m
nhắm	nh a2_T1 m
nhắn	nh a2_T1 n
nhĩ	nh i_T5
nhũng	nh u1_T5 ng
nhơ	nh o3_T1
như	nh u2_T1
nhưn	nh u2_T1 n
nhưng	nh u2_T1 ng
nhức	nh u2_T1 k
những	nh u2_T1 ng
nhược	nh ua2_T6 k
nhượng	nh ua2_T6 ng
nhạc	nh a1_T6 k
nhạn	nh a1_T6 n
nhạt	nh a1_T6 t
nhạy	nh ay_T6
nhảy	nh ay_T4
nhấn	nh a3_T3 n
nhất	nh a3_T3 t
nhầm	nh a3_T2 m
nhậm	nh a3_T6 m
nhận	nh a3_T6 n
nhập	nh a3_T6 p
nhật	nh a3_T6 t
nhắc	nh a2_T3 k
nhắm	nh a2_T3 m
nhắn	nh a2_T3 n
nhằm	nh a2_T2 m
nhẹ	nh e1_T6
nhị	nh i_T6
nhỏ	nh o1_T4
nhốt	nh o2_T3 t
nhộn	nh o2_T6 n
nhớ	nh o3_T3
nhờ	nh o3_T2
nhở	nh o3_T4
nhủ	nh u1_T4
nhức	nh u2_T3 k
nhữ	nh u2_T5
những	nh u2_T5 ng
nhựng	nh u2_T6 ng
nick	n i_T1 k k
nicolas	n i_T1 k o1_T1 l a1_T1 s
nigeria	n i_T1 j i_T1 e2_T1 r i_T1 a1_T1
nikolic	n i_T1 k o2_T1 l i_T1 k
ninh	n i_T1 nh
niên	n ie2_T1 n
niềm	n ie2_T1 m
niệm	n ie2_T1 m
niềm	n ie2_T2 m
niệm	n ie2_T6 m
no	n o2_T1
noi	n oi_T1
non	n o1_T1 n
north	n o1_T3 t th
notice	n o1_T1 t i_T1 k e1_T1
notre	n o2_T1 tr e1_T1
now	n au3_T1
nói	n oi_T1
nóng	n o1_T1 ng
nsw	n x v
nuôi	n uoi2_T1
nàn	n a1_T2 n
nào	n ao_T2
này	n ay_T2
náo	n ao_T3
nát	n a1_T3 t
náu	n au_T3
nâng	n a3_T1 ng
nầy	n ay3_T1
nẩy	n ay3_T1
nã	n a1_T5
não	n ao_T5
nè	n e1_T2
né	n e1_T3
ném	n e1_T3 m
nét	n e1_T3 t
nê	n e2_T1
nên	n e2_T1 n
nênnổi	n e2_T1 n n oi2_T4
nêu	n e2_T1 u1_T1
nếu	n e2_T1 u1_T1
nó	n o1_T3
nói	n oi_T3
nón	n o1_T3 n
nóng	n o1_T3 ng
nô	n o2_T1
nông	n o2_T1 ng
nối	n oi2_T1
nỗi	n oi2_T1
nổi	n oi2_T1
nội	n oi2_T1
núi	n ui_T3
nút	n u1_T3 t
năm	n a2_T1 m
nămnếu	n a2_T1 m n eu_T3
năng	n a2_T1 ng
nằm	n a2_T1 m
nắm	n a2_T1 m
nặc	n a2_T1 k
nặng	n a2_T1 ng
nơ	n o3_T1
nơi	n oi3_T1
nơiông	n oi3_T1 o2_T1 ng
nư	n u2_T1
nước	n ua2_T1 k
nức	n k
nữa	n ua2_T1
nửa	n ua2_T1
nước	n ua2_T3 k
nướng	n ua2_T3 ng
nại	n ai_T6
nạn	n a1_T6 n
nảy	n ay_T4
nấu	n au3_T3
nầy	n ay3_T2
nắm	n a2_T3 m
nắng	n a2_T3 ng
nằm	n a2_T2 m
nẵng	n a2_T5 ng
nặn	n a2_T6 n
nặng	n a2_T6 ng
nếm	n e2_T3 m
nến	n e2_T3 n
nếu	n eu_T3
nề	n e2_T2
nền	n e2_T2 n
nối	n oi2_T3
nồi	n oi2_T2
nổ	n o2_T4
nổi	n oi2_T4
nỗ	n o2_T5
nỗi	n oi2_T5
nộ	n o2_T6
nội	n oi2_T6
nộp	n o2_T6 p
nở	n o3_T4
nợ	n o3_T6
nức	n u2_T3 k
nửa	n ua2_T4
nữ	n u2_T5
nữa	n ua2_T5
nựng	n u2_T6 ng
o	o1_T1
oan	oa_T1 n
oán	oa_T1 n
oberon	o1_T1 b o3_T1 o1_T1 n
odarka	o1_T1 j a1_T1 r k a1_T1
of	o1_T1 ph
ohandjanian	o1_T1 h a1_T1 n d2 d1 a1_T1 n i_T1 a1_T1 n
oleinikova	o2_T1 l e1_T3 i_T1 n i_T1 k o2_T1 v a1_T1
olga	o1_T1 l g a1_T1
oligarch	o1_T1 l i_T1 d1 i_T1 a1_T3 ch
omar	o2_T1 m a1_T1 r
on	o1_T1 n
one	o1_T1 n e1_T1
ong	o1_T1 ng
operation	o1_T1 p e2_T1 d1 a1_T1 t i_T1 o1_T1 n
oral	o1_T1 d1 a1_T1 n
org	o1_T1 r j i_T1
organ	o1_T1 r g a1_T1 n
osman	o1_T1 x m a1_T1 n
ottoman	o1_T3 t o2_T1 m a1_T1 n
overseas	o1_T1 j o3_T1 x e1_T3 a1_T3 x
oxytocin	o2_T1 x i_T1 t o1_T1 k i_T1 n
oàng	oa_T2 ng
p	p
padpay	p a1_T1 d2 i_T1 b i_T1 ay_T1
pagano	p a1_T1 g a1_T1 n o2_T1
pakistan	p a1_T1 k i_T3 s t a1_T1 n
palestine	p a1_T1 l e1_T3 s t i_T1 n e1_T1
panama	p a1_T1 n a1_T1 m a1_T1
panguna	p a1_T1 ng u1_T1 n a1_T1
papua	p a1_T1 p ua_T1
paris	p a1_T1 r i_T3 s
party	p a1_T1 r t i_T1
pasha	p a1_T1 x a1_T1
patrick	p a1_T1 t d1 i_T1 k k
paul	p au_T1 n
pauline	p au_T1 l i_T1 n e1_T1
payments	p ay_T1 m e1_T1 n t s
payne	p a1_T1 i_T1 n e1_T1
peel	p e2_T1 eo_T1
peires	p e2_T1 i_T1 d1 e1_T1 s
pelosi	p e2_T1 l o1_T1 x i_T1
pence	p e2_T1 n e1_T1
penny	p e2_T1 n i_T1
penovic	p e1_T1 n o1_T1 j i_T1 k
performance	p e2_T1 d1 ph o1_T1 d1 m a1_T1 n k e1_T1
perth	p e2_T1 d1 th
peter	p e2_T1 t e1_T1 r
petro	p e2_T1 ch o2_T1
pha	ph a1_T1
phai	ph ai_T1
pham	ph a1_T1 m
phan	ph a1_T1 n
phái	ph ai_T1
phán	ph a1_T1 n
pháp	ph a1_T1 p
phát	ph a1_T1 t
phải	ph ai_T1
phản	ph a1_T1 n
phạm	ph a1_T1 m
phạt	ph a1_T1 t
phe	ph e1_T1
phelan	ph e2_T1 l a1_T1 n
phép	ph e2_T2 p
phi	ph i_T1
phie	ph i_T1 e1_T1
philipines	ph i_T1 l i_T1 p i_T1 n e1_T1 s
philipinnes	ph i_T1 l i_T1 p i_T1 n e1_T3
philippines	ph i_T1 l i_T1 p p i_T1 n e1_T1 s
phim	ph i_T1 m
phiên	ph ie2_T1 n
phiến	ph ie2_T1 n
phiếu	ph ieu_T1
phía	ph i_T1 a1_T1
phiếu	ph ieu_T3
phiền	ph ie2_T2 n
phiệt	ph ie2_T6 t
pho	ph o1_T1
phong	ph o1_T1 ng
phòng	ph o1_T1 ng
phỏng	ph o1_T1 ng
phu	ph u1_T1
phúc	ph u1_T1 k
phút	ph u1_T1 t
phục	ph u1_T1 k
phàn	ph a1_T2 n
phá	ph a1_T3
phái	ph ai_T3
phán	ph a1_T3 n
pháo	ph ao_T3
pháp	ph a1_T3 p
phát	ph a1_T3 t
phân	ph a3_T1 n
phần	ph a3_T1 n
phấn	ph a3_T1 n
phẫu	ph au3_T1
phẩm	ph a3_T1 m
phận	ph a3_T1 n
phật	ph a3_T1 t
phép	ph e1_T3 p
phê	ph e2_T1
phí	ph i_T3
phía	ph i_T3 a1_T1
phòng	ph o1_T2 ng
phó	ph o1_T3
phóng	ph o1_T3 ng
phô	ph o2_T1
phối	ph oi2_T1
phù	ph u1_T2
phú	ph u1_T3
phúc	ph u1_T3 k
phút	ph u1_T3 t
phương	ph ua2_T1 ng
phức	ph k
phường	ph ua2_T2 ng
phượng	ph ua2_T6 ng
phạm	ph a1_T6 m
phạt	ph a1_T6 t
phải	ph ai_T4
phản	ph a1_T4 n
phảo	ph ao_T4
phấn	ph a3_T3 n
phần	ph a3_T2 n
phẩm	ph a3_T4 m
phẩu	ph au3_T4
phẫn	ph a3_T5 n
phẫu	ph au3_T5
phận	ph a3_T6 n
phế	ph e2_T3
phỏng	ph o1_T4 ng
phố	ph o2_T3
phối	ph oi2_T3
phồng	ph o2_T2 ng
phổ	ph o2_T4
phổi	ph oi2_T4
phụ	ph u1_T6
phục	ph u1_T6 k
phụng	ph u1_T6 ng
phụt	ph u1_T6 t
phủ	ph u1_T4
phức	ph u2_T3 k
pia	p i_T1 a1_T1
piano	p i_T1 a1_T1 n o2_T1
pill	p i_T1 n
pin	p i_T1 n
pl	p o3_T2 l
place	p o3_T2 l a1_T1 k e1_T1
plan	p o3_T2 l a1_T1 n
plevna	p o3_T2 l e1_T1 v n a1_T1
plibersek	p o3_T2 l i_T1 b o3_T1 x e1_T3 k
plos	p o3_T2 l o1_T1 s
pm	p m
pop	p o1_T1 p
poroshenko	p o1_T1 r o1_T1 x e1_T1 n k o2_T1
port	p o1_T1 r t
ports	p o1_T1 r t s
powell	p o1_T1 e1_T1 n
pr	p r
preferential	p d1 e1_T1 ph e1_T1 d1 e1_T1 n t i_T1 a1_T1 n
presbyterian	p d1 e1_T3 b i_T1 t o3_T1 i_T1 a1_T1 n
preston	p d1 e1_T1 s t o1_T1 n
program	p d1 o2_T2 g d1 a1_T1 m
ptsd	p t s d2 e2_T1
pulpally	p u1_T1 l p a1_T1 l l i_T1
puri	p oa_T1 i_T1
qua	k ua_T1
quan	k ua_T1 n
quang	k ua_T1 ng
quanh	k ua_T1 nh
quay	k ua_T1 i_T1
quán	k ua_T1 n
quản	k ua_T1 n
quảng	k ua_T1 ng
queensland	k u1_T1 e1_T1 e1_T1 n x l a1_T1 n d2 e2_T1
quen	k u1_T1 e1_T1 n
qui	k ui_T1
quy	k uy_T1
quyên	k uy_T1 e2_T1 n
quyền	k uy_T1 e2_T1 n
quyết	k uy_T1 e2_T1 t
quyển	k uy_T1 e2_T1 n
quyế	k uy_T1 e2_T3
quyết	k uy_T1 e2_T3 t
quyền	k uy_T1 e2_T2 n
quá	k u1_T1 a1_T3
quái	k u1_T1 ai_T3
quán	k u1_T1 a1_T3 n
quân	k u1_T1 a3_T1 n
quấy	k u1_T1 ay3_T1
quãng	k u1_T1 a1_T5 ng
quét	k u1_T1 e1_T3 t
quê	k u1_T1 e2_T1
quên	k u1_T1 e2_T1 n
quí	k u1_T1 i_T3
quốc	k u1_T1 o2_T1 k
quý	k uy_T3
quặng	k u1_T1 a2_T1 ng
quả	k u1_T1 a1_T4
quản	k u1_T1 a1_T4 n
quảng	k u1_T1 a1_T4 ng
quấy	k ua_T3 i_T1
quần	k ua_T2 n
quận	k ua_T6 n
quằn	k u1_T1 a2_T2 n
quốc	k ua_T3 k
quỳ	k uy_T2
quỹ	k uy_T5
ra	r a1_T1
rachel	r a1_T1 ch eo_T1
racing	r a2_T3 i_T1 ng
radio	r a1_T1 i_T1 o2_T1
radosavljevic	r a1_T1 d2 s v l j v i_T1 k
rahul	r a1_T1 h u1_T1 n
raj	r a1_T1 d1
rajab	r a1_T1 d1 ay3_T1 b
rajitha	r a1_T1 d1 i_T1 t a1_T1
