a	al
hinzieht	h i n ts il t
hinzog	h i n ts ol k
hinzu	h i n ts ul
hinzubringen	h i n ts ul b r i ng etu n
hinzufügen	h i n ts ul f uel g etu n
hinzugefügt	h i n ts ul g etu f uel k t
hinzugehen	h i n ts ul g el etu n
hinzugekommen	h i n ts ul g etu k o m etu n
hinzugetan	h i n ts ul g etu t al n
hinzuging	h i n ts ul g i ng
hinzukam	h i n ts ul k al m
hinzulegen	h i n ts ul l el g etu n
hinzuliefen	h i n ts ul l il f etu n
hinzuschauen	h i n ts ul S a u etu n
hinzusenden	h i n ts ul z e n d etu n
hinzutreten	h i n ts ul t r el t etu n
hinzutun	h i n ts ul t ul n
hinzuziehen	h i n ts ul ts il etu n
hinüber	h il n uel b etu r
hinüberfahren	h il n uel b atu f al r etu n
hinüberführen	h il n uel b etu r f uel r etu n
hinüberführten	h il n uel b etu r f uel r t etu n
hinübergefahren	h il n uel b etu r g etu f al r etu n
hinübergeführt	h il n uel b etu r g etu f uel r t
hinübergegangen	h il n uel b etu r g etu g a ng etu n
hinübergehen	h il n uel b etu r g el etu n
hinübergehst	h il n uel b atu g el s t
hinübergekommen	h il n uel b etu r g etu k o m etu n
hinübergingen	h il n uel b etu r g i ng etu n
hinüberkam	h il n uel b etu r k al m
hinüberkamen	h il n uel b etu r k al m etu n
hinüberziehen	h il n uel b atu ts il etu n
hinüberzogen	h il n uel b etu r ts ol g etu n
hinüberzogst	h il n uel b etu r ts ol k s t
hinüberzugehen	h il n uel b etu r ts ul g el etu n
hiob	h il o p
hiobs	h il o p s
hira	h i r al
hiram	h i r al m
hirams	h i r ae m s
hirsch	h i r S
hirsche	h i r S etu
hirschen	h i r S etu n
hirschfüsse	h i r S f ue s etu
hirschkühe	h i r S k uel etu
hirse	h i r s etu
hirt	h i r t
hirte	h i r t etu
hirten	h i r t etu n
hirtenfelder	h i r t etu n f e l d atu
hirtenstabe	h i r t etu n S t al b etu
hirtentasche	h i r t etu n t a S etu
hiski	h i s k il
hiskia	h i s k i a
hiskias	h i s k i a s
hitze	h i ts etu
hitzig	h i ts i C
hitzigem	h i ts i g etu m
hiël	h i l
hiëser	h i s atu
hiëseriter	h i s e r i t atu
hob	h ol p
hoba	h o b a
hobab	h o b al p
hobabs	h o b al p s
hoben	h ol b etu n
hobst	h ol p s t
hobt	h ol p t
hoch	h ol x
hochbegnadete	h ol x b etu g n al d etu t etu
hochbetagt	h ol x b etu t al k t
hochbetagte	h ol x b etu t al k t etu
hochbringst	h o x b r i ng s t
hochebene	h ol x el b etu n etu
hocherfreut	h ol x e r f r eU t
hochfahrend	h ol x f al r etu n t
hochgebracht	h ol x g etu b r a x t
hochgeehrt	h ol x g etu el r t
hochgehalten	h ol x g etu h a l t etu n
hochgelobten	h ol x g etu l ol p t etu n
hochgewachsen	h ol x g etu v a k s etu n
hochgewachsene	h ol x g etu v a x s e n etu
hochgewachsenen	h ol x g etu v a x s e n etu n
hochgewachsenes	h ol x g etu v a x s e n etu s
hochheben	h ol x h el b etu n
hochheilig	h ol x h a i l i x
hochheilige	h ol x h a i l i g etu
hochheiligen	h ol x h a i l i g etu n
hochheiliger	h ol x h aI l i g atu
hochheiliges	h ol x h a i l i g etu s
hochkommen	h ol x k o m etu n
hochmut	h ol x m ul t
hochmuts	h ol x m ul t s
hochmütig	h ol x m uel t i x
hochmütigen	h ol x m uel t i g etu n
hochmütiger	h ol x m uel t i g etu r
hochstieg	h ol x S t il k
hochzeit	h o x ts aI t
hochzeitleute	h ol x ts a i t l eU t etu
hochzeitlich	h ol x ts a i t l i C
hochzeitsgelage	h ol x ts a i ts g etu l al g etu
hochzeitshaus	h o x ts aI t S aU s
hochzeitsmahl	h ol x ts a i ts m al l
hockt	h o k t
hod	h ol t
hodawja	h ol d al v j a
hodawjas	h ol d al v j a s
hoden	h ol d etu n
hodesch	h ol d e S
hodia	h ol d i a
hodija	h ol d il j al
hof	h ol f
hofe	h ol f etu
hoffart	h o f al r t
hoffe	h o f etu
hoffen	h o f etu n
hoffet	h o f el
hoffnung	h o f n u ng
hofft	h o f t
hoffte	h o f t etu
hofften	h o f t etu n
hoffärtig	h o f ae r t i x
hoffärtige	h o f ae r t i g etu
hoffärtigen	h o f ae r t i g etu n
hoffärtiges	h o f ae r t i g etu s
hofgesinde	h ol f g etu s i n d etu
hofleute	h ol f l eU t etu
hofmeister	h ol f m aI s t atu
hofmeisters	h ol f m aI s t atu s
hofraum	h ol f r aU m
hofraums	h ol f r aU m s
hogla	h ol g l a
hoham	h ol h a m
hohe	h ol h etu
hoheit	h ol h a i t
hohelied	h ol etu l il t
hohem	h ol h etu m
hohen	h ol etu n
hohenpriester	h ol h etu n p r il s t etu r
hohenpriestergeschlecht	h ol h etu n p r il s t etu r g etu S l e C t
hohenpriestern	h ol h etu n p r il s t etu r n
hohenpriesters	h ol h etu n p r il s t etu r s
hohepriester	h ol h etu p r il s t etu r
hohepriesterliche	h ol h etu p r il s t etu r l i C etu
hoher	h ol h etu r
hoherpriester	h ol h etu r p r il s t etu r
hohes	h ol h etu s
hohl	h ol l
hohlen	h ol l etu n
hohlkopf	h ol l k o p f
hohn	h ol n
hohnes	h ol n etu s
hohngesprochen	h ol n g etu S p r o x etu n
hohnlachen	h ol n l a x etu n
hohnsprach	h ol n S p r al x
hohnzusprechen	h ol n ts ul S p r e C etu n
hol	h ol l
holdselig	h o l t z el l i x
holdseliges	h o l t z el l i g etu s
hole	h ol l etu
holen	h ol l etu n
holon	h ol l ol n
holt	h ol l t
holte	h ol l t etu
holten	h ol l t etu n
holz	h o l ts
holzes	h o l ts etu s
holzhauer	h o l ts h a u atu
holzhauern	h o l ts h a u etu r n
holzpfahl	h o l ts p f al l
holzscheit	h o l ts S aI t
holzscheite	h o l ts S aI t etu
holzstoss	h o l ts S t o s
holztragen	h o l ts t r al g etu n
honig	h o n i C
honigseim	h o n i k s aI m
honigwaben	h ol n i C v al b etu n
hophni	h ol f n il
hophra	h ol f r al
hor	h o r
horam	h o r a m
horch	h o r x
horchen	h o r C etu n
horeb	h o r e p
horem	h o r etu m
horescha	h o r etu S al
hori	h ol r il
horis	h ol r i s
horiter	h o r i t atu
horma	h o r m a
horn	h o r n
horon	h o r o n
horonajim	h ol r ol n a j i m
horoniter	h o r o n i t atu
horoniters	h o r o n i t atu s
hort	h o r t
hosa	h ol z al
hosas	h ol z al s
hoschaja	h o S a j al
hoschajas	h o S a j al s
hoschama	h o S al m al
hosea	h o s e al
hoseas	h o s e al s
hosen	h ol z etu n
hosianna	h ol z il a n n a
hotham	h o t a m
hothams	h o t a m s
hothir	h o t il r
hu	h ul
hubba	h u p b a
hufe	h ul f etu
hufen	h ul f etu n
hui	h ul il
hukkok	h u k k o k
hul	h u l
huld	h u l t
hulda	h u l d al
huldigen	h u l d i g etu n
huldigte	h u l d i C t etu
huldigten	h u l d i C t etu n
humta	h u m t a
hund	h u n t
hunde	h u n d etu
hundegeld	h u n d etu g e l t
hunden	h u n d etu n
hundert	h u n d etu r t
hundertachtzigtausend	h u n d atu t a x ts i C t aU z etu n t
hundertdreissig	h u n d atu t d r aI s i C
hundertdreiundfünfzig	h u n d atu t d r aI u n t f ue n f ts i k
hundertdreiundzwanzig	h u n d atu t d r aI u n t ts v a n ts i C
hundertfältig	h u n d atu t f e l t i x
hundertfältige	h u n d atu t f e l t i g etu
hundertfünfundachtzigtausend	h u n d atu t f ue n f u n d a x ts i C t aU z etu n t
hundertfünfundsiebzig	h u n d atu t f ue n f u n t z il p ts i x
hundertfünfzig	h u n d atu t f ue n f ts i k
hundertjährig	h u n d etu r t j ae r i C
hundertmal	h u n d atu t m al l
hundertschaften	h u n d atu t S a f t etu n
hundertsiebenundachtzig	h u n d atu ts il b etu n u n d a x ts i C
hundertsiebenundvierzig	h u n d atu ts il b etu n u n t f i atu ts i C
hundertsiebenundzwanzig	h u n d atu ts il b etu n u n t ts v a n ts i C
hunderttausend	h u n d atu t t aU z etu n t
hundertundachtzig	h u n d atu t u n d a x ts i C
hundertundachtzigtausend	h u n d atu t u n d a x ts i C t aU z etu n t
hundertunddreissig	h u n d atu t u n t d r aI s i C
hundertundfünf	h u n d atu t u n d f ue n f
hundertundfünfzig	h u n d atu t u n t f ue n f ts i k
hundertundneunzehn	h u n d atu t u n t n eU n ts el n
hundertundsechzig	h u n d atu t u n t z e C ts i C
hundertundsiebenundzwanzig	h u n d atu t u n d s il b etu n u n t ts v a n ts i C
hundertundvierzig	h u n d atu t u n t f i atu ts i C
hundertundzehn	h u n d atu t u n ts el n
hundertundzwanzig	h u n d atu t u n t ts v a n ts i C
hundertundzwanzigtausend	h u n d atu t u n t ts v a n ts i C t aU z etu n t
hundertundzwölf	h u n d atu t u n ts v oe l f
hundertvierundvierzig	h u n d atu t f il r u n t f i atu ts i C
hundertvierundvierzigtausend	h u n d atu t f il r u n t f i atu ts i C t aU z etu n t
hundertzwanzig	h u n d atu t ts v a n ts i C
hundertzwanzigtausend	h u n d atu t ts v a n ts i C t aU z etu n t
hundertzweiundachtzig	h u n d atu t ts v aI u n d a x ts i C
hundertzweiundsechzig	h u n d atu t ts v aI u n t z e C ts i C
hundskopf	h u n ts k o p f
hunger	h u ng etu r
hungern	h u ng etu r n
hungers	h u ng etu r s
hungersnot	h u ng atu s n ol t
hungert	h u ng etu r t
hungerte	h u ng etu r t etu
hungerzeit	h u ng atu ts aI t
hungrig	h u ng r i k
hungrige	h u ng r i g etu
hungrigen	h u ng r i g etu n
hungriger	h u ng r i g atu
hupham	h u f al m
huphamiter	h u f al m i t atu
huppa	h u p al
huppim	h u p i m
hur	h ul r
huram	h oe r al m
hure	h oe r etu
huren	h ul r etu n
hurenaltar	h oe il n a l t al r
hurengewand	h ul r etu n g etu v a n t
hurenglieder	h ul r etu n g l il d etu r
hurenhaus	h ul r etu n h a u s
hurenkinder	h oe r etu ng k i n d atu
hurenlager	h ul r etu n l al g etu r
hurenlied	h ul r etu n l il t
hurenlohn	h ul r etu n l ol n
hurenstirn	h ul r etu n S t i r n
hurenweib	h ul r etu n v a i p
hurerei	h oe r atu r aI
hurern	h u r etu r n
huris	h ul r i s
hurs	h ul r s
husam	h u z al m
huschai	h u S aI
huschais	h u S a i s
huscham	h u S al m
huschas	h u S a s
huschathiter	h u S t atu
huschim	h u S i m
husim	h ul z il m
hut	h ul t
huzoth	h u ts ol t
hyazinth	h uel a ts i n t
hymenäus	h uel m etu n ae u s
häcksel	h e k s etu l
häher	h ae r
hälfte	h e l f t etu
hälse	h e l z etu
hälsen	h e l s etu n
hält	h e l t
hältst	h e l ts t
hände	h e n d etu
händeauflegen	h e n d etu a u f l el g etu n
händelsüchtig	h e n d etu l z ue C t i C
händen	h e n d etu n
händler	h e n d l etu r
händlern	h e n d l etu r n
händlerstadt	h e n d l atu S t a t
hänge	h e ng etu
hängen	h e ng etu n
hängt	h e ng t
hängte	h e ng t etu
hängten	h e ng t etu n
härenen	h e r etu n etu n
härenes	h e r etu n etu s
härte	h e r t etu
härter	h e r t etu r
härtesten	h e r t etu s t etu n
härtigkeit	h e r t i x k a i t
hässlich	h e s l i C
hässliche	h e s l i x etu
hässlichen	h e s l i x etu n
hässlicher	h e s l i C atu
hätte	h e t etu
hätten	h e t etu n
hättest	h e t etu s t
hättet	h e t etu t
häufe	h eU f etu
häufen	h eU f etu n
häufest	h eU f e s t
häufig	h eU f i x
häuflein	h eU f l a i n
häuft	h eU f t
häufte	h eU f t etu
häupten	h eU p t etu n
häupter	h eU p t atu
häuptern	h eU p t atu n
häuser	h eU z etu r
häusern	h eU z etu r n
häuslein	h eU s l a i n
häuslich	h eU s l i C
höbe	h oel b etu
höchste	h oel C s t etu
höchsten	h oel C s t etu n
höcker	h oe k etu r
höckerige	h oe k etu r i g etu
höfe	h oel f etu
höfen	h oel f etu n
höhe	h oel etu
höhen	h oel etu n
höhenheiligtum	h oel etu n h a i l i x t ul m
höhenopfern	h oel etu n o p f atu n
höhenweg	h oel etu n v el k
höher	h oel etu r
höhere	h oel etu r etu
höheren	h oel etu r etu n
höhle	h oel l etu
höhlen	h oel l etu n
höhlung	h oel l u ng
höhnen	h oel n etu n
höhnisch	h oel n i S
höhnten	h oel n t etu n
hölle	h oe l etu
höllische	h oe l i S etu
höllischen	h oe l i S etu n
hölzer	h oe l ts etu r
hölzerne	h oe l z etu r n etu
hölzernem	h oe l z etu r n etu m
hölzernen	h oe l z etu r n etu n
höre	h oel r etu
hören	h oel r etu n
hörenden	h oel r etu n d etu n
hörendes	h oel r etu n d etu s
hörensagen	h oel r etu n z al g etu n
hörer	h oel r etu r
hörest	h oel r e s t
höret	h oel r etu t
hörner	h oe r n atu
hörnern	h oe r n atu n
hörst	h oel r s t
hört	h oel r t
hörte	h oel r t etu
hörten	h oel r t etu n
hörtest	h oel r t etu s t
hörtet	h oel r t etu t
hübsch	h ue p S
hübsche	h uel p S etu
hüfte	h ue f t etu
hüften	h ue f t etu n
hügel	h uel g etu l
hügelig	h uel g etu l i x
hügelland	h uel g etu l l a n t
hügellandes	h uel g etu l l a n t etu s
hügeln	h uel g etu l n
hügels	h uel g etu l s
hülfe	h uel l f etu
hülfen	h uel l f etu n
hülle	h ue l etu
hüllen	h ue l etu n
hüllte	h ue l t etu
hündlein	h ue n t l aI n
hüpfen	h ue p f etu n
hüpft	h ue p f t
hüpfte	h ue p f t etu
hürden	h ue atu d etu n
hüte	h uel t etu
hüten	h uel t etu n
hüter	h uel t etu r
hüterin	h uel t etu r i n
hütern	h uel t etu r n
hüters	h uel t etu r s
hütet	h uel t etu t
hütete	h uel t etu t etu
hüteten	h uel t etu t etu n
hütte	h ue t etu
hütten	h ue t etu n
i	il
ibri	il b r i
ibzan	i b z al n
ich	i C
iddo	i d ol
iddos	i d o s
idumäa	il d ul m ae al
igel	il g etu l
ihm	il m
ihn	il n
ihnen	il n etu n
ihr	il r
ihre	il r etu
ihrem	il r etu m
ihren	il r etu n
ihrer	il r etu r
ihres	il r etu s
ihresgleichen	il r etu s g l aI C etu n
ihretwegen	il r etu t v el g etu n
ihretwillen	il r etu t v i l etu n
ijjim	il d S i m
ijjon	il j o n
ikabod	il k a b o t
ikabods	il k a b o d s
ikkesch	i k k etu S
ikonion	il k ol n il ol n
ilai	i l aI
illyrien	i l uel r i etu n
im	i m
immanuel	i m a n u el l
immer	i m atu
immerdar	i m atu d al r
immerfort	i m atu f o atu t
immers	i m etu r s
imris	i m r i s
in	i n
inbrünstige	i n b r ue n s t i g etu
indem	i n d el m
indes	i n d etu s
indus	i n d u s
ineinander	i n a i n a n d etu r
ineinanderwachsen	i n a i n a n d etu r v a k s etu n
inhalt	i n h a l t
inmitten	i n m i t etu n
inne	i n etu
innehalten	i n etu h a l t etu n
innehast	i n etu h a s t
innehatten	i n etu h a t etu n
innen	i n etu n
innenseite	i n etu n z a i t etu
innere	i n etu r etu
inneren	i n etu r etu n
inneres	i n etu r etu s
innerhalb	i n atu h a l p
innerliche	i n etu r l i C etu
innern	i n atu n
innerste	i n etu r s t etu
innersten	i n etu r s t etu n
innerstes	i n atu s t etu s
inneward	i n e v a r t
innewerde	i n n el v el r d etu
innewerden	i n n el v el r d etu n
innewerdest	i n n el v e r d etu s t
innewerdet	i n n el v el r d etu t
innewird	i n n el v i atu t
innewirst	i n n el v i atu s t
innewurde	i n n el v u r d etu
innewurden	i n n el v u r d etu n
ins	i n s
inschrift	i n S r i f t
insel	i n z etu l
inseln	i n z etu l n
insgemein	i n s g etu m a i n
insgesamt	i n s g etu z a m t
instand	i n S t a n t
instrumente	i n s t r ul m e n t etu
instrumenten	i n s t r ul m e n t etu n
inständig	i n S t e n d i x
inwendig	i n v e n d i x
inwendige	i n v e n d i g etu
inwendigen	i n v e n d i g etu n
inwendiges	i n v e n d i g etu s
ir	il r
ira	i r al
irad	i r al t
iram	i r al m
irdene	i r d etu n etu
irdenen	i r d etu n etu n
irdenes	i r d etu n etu s
irdisch	i r d i S
irdische	i r d i S etu
irdischen	i r d i S etu n
irdisches	i r d i S etu s
irgend	i atu g etu n t
irgendein	i atu g etu n t aI n
irgendeine	i atu g etu n t aI n etu
irgendeinem	i atu g etu n t aI n etu m
irgendeinen	i atu g etu n t aI n etu n
irgendeiner	i atu g etu n t aI n atu
irgendeines	i r g etu n t a i n etu s
irgendeins	i atu g etu n t aI n s
irgendetwas	i atu g etu n t e t v a s
irgendwelchen	i atu g etu n t v e l C etu n
irgendwelches	i atu g etu n t v e l C etu s
irre	i r etu
irreführen	i r etu f uel r etu n
irreführt	i r etu f uel r t
irregehen	i r etu g el etu n
irregeht	i r etu g el t
irreging	i r etu g i ng
irren	i r etu n
irrenden	i r etu n d etu n
irret	i r etu t
irrgeist	i atu g aI s t
irrst	i r s t
irrt	i atu t
irrten	i r t etu n
irrtum	i r t ul m
irrtums	i r t ul m s
irrtümer	i atu t ue m atu
irrweg	i r v el k
irs	i r s
iru	i r ul
isaak	i s al k
isaaks	i s al k s
isai	i s a il
isais	i s a i s
isaschar	i s a S al r
isaschars	i s a S al r s
isch	i S
ischariot	i S al r i ol t
ischarioth	i S al r i o t
ischhod	i s C h ol t
isebel	il s el b etu l
isebels	il s el b etu l s
ismael	i s m a etu l
ismaeliten	i s m a el l il t etu n
ismaeliter	i s m a etu l i t etu r
ismaels	i s m a etu l s
ismeel	i s m el l
israel	i s r a el l
israelit	i s r a el l i t
israeliten	i s r a el l il t etu n
israeliter	i s r a el l il t etu r
israeliters	i s r a el l il t etu r s
israelitische	i s r a el l il t i S etu
israelitischen	i s r a el l il t i S etu n
israels	i s r a el l s
iss	i s
issest	i s etu s t
isset	i s etu t
isst	i s s t
ist	i s t
italien	il t al l il etu n
italische	il t al l i S etu
ithamar	il t h a m al r
ithamars	il t h a m al r s
ithiëls	i t h i l s
ittai	i t aI
ituräa	il t u r e a
iwwa	il v v a
ja	j a
jaakan	j a a k al n
jaakoba	j a a k o b a
jaala	j a al l a
jaar	S al r
jaareschja	S al r etu S j al
jaasai	j a v aI
jaasanja	S al s a n j al
jaasia	j a a z il al
jaasias	j a a z i a s
jaasiël	j a a z il l
jabal	j a b al l
jabbok	j a p b o k
jabbokfluss	j a p b o k f l u s
jabesch	j al b etu S
jabez	j al b etu s
jabin	j a b il n
jabins	j a b il n s
jabne	j a p n etu
jabneel	j a p n el l
jachdiël	j al x d il l
jachdos	j al x d o s
jachin	j a x i n
jachiniter	j a x i n i t atu
jachleel	j a x l el l
jachleeliter	j a x l el l il t etu r
jachmai	j a x m aI
jachseja	j a g s etu j al
jachseras	j a g s etu r al s
jachzeel	j a x ts el l
jachzeeliter	j a x ts el l il t etu r
jada	j a d al
jadas	j a d al s
jaddai	j a d a il
jaddua	j a d u al
jadduas	j a d u a s
jadon	j a d ol n
jaelam	j a el l al m
jagd	j al k t
jagdnetz	j al k t n e ts
jage	j al S etu
jagen	j al k etu n
jaget	j a S el
jagst	j al k s t
jagt	j al k t
jagte	j al k t etu
jagten	j al k t etu n
jagur	j al g ul r
jahasiël	j al a z il l
jahasiëls	j al a z i l s
jahath	j a h al t
jahaths	j a h al ts
jahdais	j al t el
jahleel	j al l el l
jahr	j al r
jahre	j al r etu
jahren	j al r etu n
jahres	j al r etu s
jahresfesten	j al r etu s f e s t etu n
jahrestag	j al r etu s t al k
jahrs	j al r s
jahza	j al ts al
jahzeel	j al ts il l
jairus	j a il r u s
jakan	j a k al n
jake	j al k etu
jakim	j al k i m
jakob	j al k o p
jakobs	j al k o p s
jakobus	j a k o b u s
jalam	S a l al m
jalon	S a l o n
jambres	j a m b r etu s
jamin	j a m il n
jaminiter	j a m i n i t atu
jamlech	j a m l e C
jammer	j a m etu r
jammergeschrei	j a m etu r g etu S r aI
jammern	j a m etu r n
jammers	j a m etu r s
jammert	j a m etu r t
jammerte	j a m etu r t etu
jammervoll	j a m atu f o l
janai	j a n aI
jannais	j a n n a i s
jannes	j a n n etu s
janoach	j a n o a x
janoha	j a n o h a
janum	j a n ul m
japheth	j a f el t
japheths	j a f el t s
japhia	j a f i a
japhlet	j a f l el
japhletiter	j a f l el t i t atu
japhlets	j a f l el ts
japho	j a f ol
jappen	j a p etu n
jara	j al r al
jarah	S a r al
jareb	S a r e p
jared	S a r el t
jareds	S a r el d s
jarha	j al r h a
jarib	j al r i p
jarkon	j al r k o n
jarmuth	S a r m ul t
jaroachs	S a r ol a k s
jaschen	j a S etu n
jaschobam	j a S ol b al m
jaschub	j a S ul p
jaschubiter	j a S ul b il t atu
jaser	j al z etu r
jasis	j al s i s
jason	j a s etu n
jasons	j a s etu n s
jaspis	j a s p il s
jathniël	j a t n i l
jattir	j a t il r
jattiriter	j a t i r i t atu
jauchze	j a u x ts etu
jauchzen	j a u x ts el n
jauchzens	j a u x ts el n s
jauchzet	j a u x ts el
jauchzt	j a u x ts t
jauchzte	j a u x ts t etu
jauchzten	j a u x ts t etu n
javan	j a v al n
jawan	j a v al n
jawans	j a v al n s
jawohl	j a v ol l
jaël	j al l
jaëls	S a l s
jaïr	j al r
jaïriter	S a r i t atu
jaïrs	j al r s
je	j el
jearim	d S il r i m
jearims	d S il r i m s
jeberechjas	j el b etu r e C j al s
jebus	j el b u s
jebusiter	j el b ul z il t atu
jebusitern	j el b ul z il t etu r n
jebusiters	j el b ul z il t atu s
jebusiterstadt	j el b ul z il t atu S t a t
jechdeja	j el C d etu j al
jecholja	j e C ol l j al
jechonja	j e C ol n j al
jechonjas	j e C ol n j al s
jedaja	j el d a j al
jedajas	j el d a j al s
jede	j el d etu
jedem	j el d etu m
jeden	j el d etu n
jeder	j el d etu r
jedermann	j el d etu r m a n
jedermanns	j el d etu r m a n s
jederzeit	j el d atu ts aI t
jedes	j el d etu s
jedesmal	j el d etu s m al l
jediaël	j el d j al l
jediaëls	j el d j al l s
jedida	j el d il d al
jedidja	j el d il d j al
jedlaph	j el t l al f
jedo	j el d ol
jedoch	j el d o x
jeduthun	j el d u t ul n
jeduthuns	j el d u t ul n s
jegar	j el g al r
jegliche	j el k l i C etu
jeglichem	j el k l i C etu m
jeglichen	j el k l i C etu n
jeglicher	j el k l i C etu r
jegliches	j el k l i C etu s
jeguël	j el g ul l
jehallelels	j el h a l el l etu l s
jeher	j el h el r
jeheskel	j el h el s k etu l
jehia	j el h il a
jehiskia	j el i s k i a
jehiël	j el h i l
jehiëliter	j el h i l i t etu r
jehiëls	j el h i l s
jehu	j el h ul
jehud	j el h ul t
jehus	j el h ul s
jeiël	j aI l
jekamam	j e k a m a m
jekamja	j e k al m j al
jekuthiël	j el k ul t h i l
jemals	j el m al l s
jemand	j el m a n t
jemandem	j el m a n d etu m
jemanden	j el m a n d etu n
jemandes	j el m a n d etu s
jemima	j el m il m al
jemuel	j el m ue l
jemuël	j el m u l
jene	j el n etu
jenem	j el n etu m
jenen	j el n etu n
jener	j el n etu r
jenes	j el n etu s
jenseit	j el n z a i t
jenseits	j el n z aI ts
jeothrai	j el ol t r aI
jephthah	j el f t al
jephthahs	j el f t al s
jephunne	j el f u n etu
jephunnes	j el f u n etu s
jerach	j el r a x
jerachmeel	j el r a x m el l
jerachmeeliter	j el r a x m el l il t etu r
jerachmeels	j el r a x m el l s
jered	j el r el t
jeremai	j el r el m aI
jeremia	j el r el m i a
jeremias	j el r el m i a s
jeremoth	j el r el m ol t
jeria	j el r i a
jeribai	j el r il b aI
jericho	j el r i C ol
jerichos	j el r i C ol s
jerigoth	j el r il g ol t
jerimoth	j el r il m o t
jerimoths	j el r il m ol ts
jeriël	j el r il l
jerobeam	j el r ol b e a m
jerobeams	j el r ol b e a m s
jeroham	j el r ol h a m
jerohams	j el r ol h a m s
jerubbaal	j el r ul b al l
jerubbaals	j el r ul b al l s
jerusalem	j e r ul z a l el m
jerusalems	j e r ul z a l el m s
jeruscha	j el r ul S al
jeruël	j el r ul l
jesaja	j el z a j al
jesajas	j el z a j al s
jesanja	j el z a n j al
jesbak	j el s b al k
jeschana	j e S al n a
jeschebab	j e S etu b a p
jescher	j e S atu
jeschimon	j e s i m ol n
jeschimoth	j e s i m ol t
jeschischais	j e s C i S a i s
jeschohaja	j e S o h a j al
jeschua	j e S u al
jeschuas	j e S ul a s
jeschurun	j e S ul r ul n
jeschuruns	j e S ul r u n s
jesiël	j el z il l
jesreel	j el z il l
jesreeliter	j el z r el l il t etu r
jesreeliterin	j el z r el l i t atu r i n
jesreeliters	j el z r el l il t etu r s
jesreels	j el z r el l s
jesse	j e s etu
jesses	j e s etu s
jesu	j el z ul
jesua	j el z u al
jesum	j el z u m
jesus	j el z u z
jether	j el t atu
jethers	j el t atu s
jetheth	j el t el t
jethran	j el t r al n
jethro	j el t r ol
jethros	j el t r ol s
jetur	j el t u r
jetzt	j e ts t
jeweils	j el v aI l s
jezer	j e ts atu
jezeriter	j e ts e r i t atu
jeïël	j e l
jibhar	d S i p h al r
jibleam	d S i b l e al m
jibneja	d S i p n etu j al
jibnejas	d S i p n etu j al s
jibsam	d S i p z al m
jidala	d S i d al l al
jidbasch	d S i t b a S
jigal	d S i g a l
jigdaljas	d S i C d al l j al s
jimlas	d S i m l al s
jimna	d S i m n a
jimnas	d S i m n al s
jimniter	d S i m n i t atu
jimra	d S i m r al
jiphdeja	d S i f d etu j al
jiphtach	d S i f t a x
jiron	d S i r ol n
jirpeel	d S i atu p il l
jischbaal	d S i S b al l
jischbach	d S i S b a x
jischbak	d S i S b a k
jischi	d S i S il
jischia	d S i S i a
jischias	d S i S il j a s
jischis	d S i S il s
jischma	d S i S m a
jischmaja	d S i S m a j al
jischmerai	d S i S m e r aI
jischpa	d S i S p al
jischpan	d S i S p al n
jischwa	d S i S v a
jischwi	d S i S v i
jischwiter	d S i S v i t atu
jisia	d S i s i a
jiska	d S i s k al
jislia	d S i s l il al
jismachja	d S i s m a x j al
jisrachiter	d S i s r a x i t atu
jisrachja	d S i s r a x j al
jisrachjas	d S i s r a x j al s
jiswa	d S i s v a
jiswi	d S i s v i
jithla	d S i z l al
jithma	d S i t m a
jithnan	d S i t n a n
jithra	d S i z r al
jithran	d S i z r al n
jithream	d S i t r el a m
jithriter	d S i t r i t atu
jizhar	d S i ts h al r
jizhariter	d S i ts h a r i t atu
jizharitern	d S i ts h a r i t atu n
jizhars	d S i ts h al r s
joab	j o a p
joabs	j o al p s
joach	j ol a C
joachs	j ol a C s
joadda	j o a d a
joaddan	j o a d a n
joahas	j o al a s
joas	j o al s
job	d S o p
jobab	d S o p a p
joch	j o x
jochebed	j o x etu b etu d
jochen	j o x etu n
jochstange	j o x S t a ng etu
jodas	j o d a s
joel	j ol e l
joels	j ol e l s
jogbeha	j ol k b etu h a
joglis	j ol g l il s
joha	j ol h a
johanan	j ol h a n a n
johanans	j ol h a n al n s
johanna	j ol h a n n a
johannes	j ol h a n etu s
jojachin	j ol j a x i n
jojachins	j ol j a C il n s
jojada	j ol j a d al
jojadas	j ol j a d al s
jojakim	j o j al k i m
jojakims	j o j al k i m s
jojarib	j o j al r i p
jojaribs	j o j al r il b s
jokdeam	j o k d il m
jokim	j o k i m
jokmeam	j o k m il m
jokneam	j o k n el a m
joksan	j o k z al n
jokschan	j o k S a n
jokschans	j o k S a n s
joktan	j o k t al n
joktans	j o k t al n s
joktheel	j o k t el l
jona	j o n al
jonadab	j o n a d al b
jonadabs	j o n a d al p s
jonams	j o n a m s
jonathan	j o n a t h a n
jonathans	j o n a t h a n s
joppe	j o p etu
jorah	j o r al
jorai	j o r aI
joram	j o r a m
jorams	j o r a m s
jordan	j o r d al n
jordangegend	j o r d al n g el g etu n t
jordans	j o r d al n s
jordantal	j o r d al n t al l
jorims	j o r i m s
jorkoams	j o r k o a m s
josabad	j o s a b al t
josachar	j o s al x al r
josaphat	j o s a f al t
josaphats	j o s a f al ts
joscha	j o S al
joschabath	j o S a b al t
